EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1712079;0;AI;3101;Appenzell;Alte Unterrainstrasse;16;9050;0;Appenzell;2749217.371;1243016.805;de
1712080;0;AI;3101;Appenzell;Alte Unterrainstrasse;27;9050;0;Appenzell;2749256.798;1243093.527;de
1712081;0;AI;3101;Appenzell;Alte Unterrainstrasse;25;9050;0;Appenzell;2749241.146;1243101.588;de
1712082;0;AI;3101;Appenzell;Alte Unterrainstrasse;14;9050;0;Appenzell;2749212.647;1243100.425;de
1712083;0;AI;3101;Appenzell;Alte Unterrainstrasse;12;9050;0;Appenzell;2749190.993;1243120.549;de
1712085;0;AI;3101;Appenzell;Alte Unterrainstrasse;10;9050;0;Appenzell;2749126.978;1243213.445;de
1712086;0;AI;3101;Appenzell;Alte Unterrainstrasse;4;9050;0;Appenzell;2749053.548;1243397.07;de
1712087;0;AI;3101;Appenzell;Alte Unterrainstrasse;2;9050;0;Appenzell;2749038.109;1243418.519;de
1712091;0;AI;3101;Appenzell;Hundgalgen;4a;9050;0;Appenzell;2749152.529;1243273.032;de
1712092;0;AI;3101;Appenzell;Hundgalgen;10;9050;0;Appenzell;2749193.69;1243279.391;de
1712093;0;AI;3101;Appenzell;Hundgalgen;3;9050;0;Appenzell;2749143.57;1243295;de
1712094;0;AI;3101;Appenzell;Hundgalgen;3a;9050;0;Appenzell;2749138.029;1243296.196;de
1712095;0;AI;3101;Appenzell;Hundgalgen;2;9050;0;Appenzell;2749132.499;1243312.133;de
1712096;0;AI;3101;Appenzell;Hundgalgen;1;9050;0;Appenzell;2749118.958;1243341.748;de
1712097;0;AI;3101;Appenzell;Hundgalgen;17;9050;0;Appenzell;2749155.729;1243361.064;de
1712098;0;AI;3101;Appenzell;Hundgalgen;16;9050;0;Appenzell;2749136.583;1243374.681;de
1712099;0;AI;3101;Appenzell;Hundgalgen;14;9050;0;Appenzell;2749142.085;1243354.123;de
1712100;0;AI;3101;Appenzell;Hundgalgen;18;9050;0;Appenzell;2749160.341;1243390.827;de
1712101;0;AI;3101;Appenzell;Hundgalgen;23;9050;0;Appenzell;2749210.298;1243360.771;de
1712102;0;AI;3101;Appenzell;Hundgalgen;20;9050;0;Appenzell;2749184.848;1243334.593;de
1712103;0;AI;3101;Appenzell;Hundgalgen;21;9050;0;Appenzell;2749201.875;1243335.679;de
1712104;0;AI;3101;Appenzell;Hundgalgen;19;9050;0;Appenzell;2749185.351;1243365.446;de
1712105;0;AI;3101;Appenzell;Ziegeleistrasse;62;9050;0;Appenzell;2748983.744;1243374.666;de
1712106;0;AI;3101;Appenzell;Ziegeleistrasse;15;9050;0;Appenzell;2748964.659;1243467.421;de
1712107;0;AI;3101;Appenzell;Ziegeleistrasse;17;9050;0;Appenzell;2748987.243;1243463.273;de
1712108;0;AI;3101;Appenzell;Ziegeleistrasse;13;9050;0;Appenzell;2748954.404;1243484.88;de
1712109;0;AI;3101;Appenzell;Ziegeleistrasse;24;9050;0;Appenzell;2748923.194;1243462.304;de
1712110;0;AI;3101;Appenzell;Ziegeleistrasse;22;9050;0;Appenzell;2748906.191;1243470.033;de
1712111;0;AI;3101;Appenzell;Ziegeleistrasse;20;9050;0;Appenzell;2748887.471;1243477.606;de
1712112;0;AI;3101;Appenzell;Ziegeleistrasse;26;9050;0;Appenzell;2748938.527;1243453.456;de
1712113;0;AI;3101;Appenzell;Ziegeleistrasse;32;9050;0;Appenzell;2748929.25;1243428.433;de
1712114;0;AI;3101;Appenzell;Ziegeleistrasse;38;9050;0;Appenzell;2748920.078;1243406.528;de
1712115;0;AI;3101;Appenzell;Ziegeleistrasse;36;9050;0;Appenzell;2748899.779;1243415.54;de
1712116;0;AI;3101;Appenzell;Ziegeleistrasse;30;9050;0;Appenzell;2748903.874;1243441.125;de
1712117;0;AI;3101;Appenzell;Ziegeleistrasse;34;9050;0;Appenzell;2748883.103;1243423.318;de
1712118;0;AI;3101;Appenzell;Ziegeleistrasse;28;9050;0;Appenzell;2748881.405;1243453.705;de
1712119;0;AI;3101;Appenzell;Ziegeleistrasse;16;9050;0;Appenzell;2748850.026;1243483.845;de
1712121;0;AI;3101;Appenzell;Ziegeleistrasse;9;9050;0;Appenzell;2748856.208;1243530.649;de
1712122;0;AI;3101;Appenzell;Ziegeleistrasse;7;9050;0;Appenzell;2748847.06;1243540.298;de
1712123;0;AI;3101;Appenzell;Ziegeleistrasse;5;9050;0;Appenzell;2748828.564;1243570.578;de
1712124;0;AI;3101;Appenzell;Ziegeleistrasse;3;9050;0;Appenzell;2748816.339;1243580.519;de
1712125;0;AI;3101;Appenzell;Ziegeleistrasse;4;9050;0;Appenzell;2748804.88;1243564.646;de
1712126;0;AI;3101;Appenzell;Ziegeleistrasse;2;9050;0;Appenzell;2748790.688;1243585.408;de
1712128;0;AI;3101;Appenzell;Ziegeleistrasse;10;9050;0;Appenzell;2748789.961;1243505.133;de
1712129;0;AI;3101;Appenzell;Ziegeleistrasse;8;9050;0;Appenzell;2748811.778;1243526.882;de
1712130;0;AI;3101;Appenzell;Ziegeleistrasse;6;9050;0;Appenzell;2748790.147;1243529.475;de
1712131;0;AI;3101;Appenzell;Ziegeleistrasse;12;9050;0;Appenzell;2748769.277;1243519.856;de
1712132;0;AI;3101;Appenzell;Hundgalgen;15;9050;0;Appenzell;2749109.847;1243368.196;de
1712133;0;AI;3101;Appenzell;Ringstrasse;27;9050;0;Appenzell;2748520.473;1243630.925;de
1712134;0;AI;3101;Appenzell;Ringstrasse;16;9050;0;Appenzell;2748528.228;1243650.506;de
1712135;0;AI;3101;Appenzell;Ringstrasse;25;9050;0;Appenzell;2748543.963;1243618.585;de
1712136;0;AI;3101;Appenzell;Ringstrasse;23;9050;0;Appenzell;2748557.531;1243614.846;de
1712137;0;AI;3101;Appenzell;Ringstrasse;12;9050;0;Appenzell;2748574.301;1243630.991;de
1712138;0;AI;3101;Appenzell;Ringstrasse;21;9050;0;Appenzell;2748575.913;1243606.164;de
1712139;0;AI;3101;Appenzell;Ringstrasse;19;9050;0;Appenzell;2748595.198;1243601.921;de
1712142;0;AI;3101;Appenzell;Ringstrasse;11;9050;0;Appenzell;2748672.885;1243573.03;de
1712143;0;AI;3101;Appenzell;Ringstrasse;10;9050;0;Appenzell;2748675.929;1243586.354;de
1712144;0;AI;3101;Appenzell;Ringstrasse;9;9050;0;Appenzell;2748695.12;1243559.08;de
1712145;0;AI;3101;Appenzell;Ringstrasse;8;9050;0;Appenzell;2748703.898;1243579.682;de
1712146;0;AI;3101;Appenzell;Ringstrasse;6;9050;0;Appenzell;2748715.591;1243573.084;de
1712148;0;AI;3101;Appenzell;Ringstrasse;4;9050;0;Appenzell;2748732.254;1243564.506;de
1712149;0;AI;3101;Appenzell;Ringstrasse;5;9050;0;Appenzell;2748736.246;1243545.665;de
1712150;0;AI;3101;Appenzell;Ringstrasse;3;9050;0;Appenzell;2748753.4;1243541.474;de
1712151;0;AI;3101;Appenzell;Ringstrasse;1;9050;0;Appenzell;2748776.298;1243553.161;de
1712152;0;AI;3101;Appenzell;Galgenhang;2;9050;0;Appenzell;2748627.633;1243518.349;de
1712153;0;AI;3101;Appenzell;Galgenhang;1;9050;0;Appenzell;2748636.768;1243543.431;de
1712154;0;AI;3101;Appenzell;Ringstrasse;2;9050;0;Appenzell;2748756.598;1243555.151;de
1712155;0;AI;3101;Appenzell;Galgenhang;20;9050;0;Appenzell;2748687.255;1243467.335;de
1712156;0;AI;3101;Appenzell;Galgenhang;18;9050;0;Appenzell;2748728.708;1243459.737;de
1712157;0;AI;3101;Appenzell;Galgenhang;17;9050;0;Appenzell;2748752.526;1243453.219;de
1712158;0;AI;3101;Appenzell;Galgenhang;16;9050;0;Appenzell;2748773.081;1243454.749;de
1712159;0;AI;3101;Appenzell;Galgenhang;8;9050;0;Appenzell;2748766.181;1243483.347;de
1712160;0;AI;3101;Appenzell;Galgenhang;7;9050;0;Appenzell;2748729.528;1243518.498;de
1712161;0;AI;3101;Appenzell;Galgenhang;5;9050;0;Appenzell;2748701.548;1243531.679;de
1712162;0;AI;3101;Appenzell;Galgenhang;6;9050;0;Appenzell;2748710.308;1243526.104;de
1712163;0;AI;3101;Appenzell;Galgenhang;4;9050;0;Appenzell;2748671.463;1243522.835;de
1712164;0;AI;3101;Appenzell;Galgenhang;3;9050;0;Appenzell;2748661.246;1243515.633;de
1712165;0;AI;3101;Appenzell;Galgenhang;11;9050;0;Appenzell;2748707.535;1243495.69;de
1712166;0;AI;3101;Appenzell;Galgenhang;19;9050;0;Appenzell;2748709.553;1243461.223;de
1712167;0;AI;3101;Appenzell;Riedstrasse;13;9050;0;Appenzell;2748862.753;1243751.652;de
1712168;0;AI;3101;Appenzell;Riedstrasse;13a;9050;0;Appenzell;2748880.102;1243766.011;de
1712169;0;AI;3101;Appenzell;Riedstrasse;16;9050;0;Appenzell;2748839.919;1243746.104;de
1712170;0;AI;3101;Appenzell;Riedstrasse;15;9050;0;Appenzell;2748851.949;1243732.957;de
1712171;0;AI;3101;Appenzell;Riedstrasse;17;9050;0;Appenzell;2748842.233;1243710.057;de
1712172;0;AI;3101;Appenzell;Riedstrasse;18;9050;0;Appenzell;2748834.028;1243727.208;de
1712173;0;AI;3101;Appenzell;Riedstrasse;15a;9050;0;Appenzell;2748881.359;1243726.043;de
1712174;0;AI;3101;Appenzell;Riedstrasse;17a;9050;0;Appenzell;2748858.694;1243687.458;de
1712175;0;AI;3101;Appenzell;Riedstrasse;19;9050;0;Appenzell;2748837.772;1243686.044;de
1712176;0;AI;3101;Appenzell;Riedstrasse;20;9050;0;Appenzell;2748817.889;1243704.336;de
1712177;0;AI;3101;Appenzell;Riedstrasse;22;9050;0;Appenzell;2748811.222;1243684.528;de
1712178;0;AI;3101;Appenzell;Riedstrasse;24;9050;0;Appenzell;2748799.904;1243649.377;de
1712179;0;AI;3101;Appenzell;Riedstrasse;23;9050;0;Appenzell;2748763.854;1243584.061;de
1712180;0;AI;3101;Appenzell;Riedstrasse;25;9050;0;Appenzell;2748766.968;1243604.591;de
1712181;0;AI;3101;Appenzell;Riedstrasse;27;9050;0;Appenzell;2748750.038;1243609.147;de
1712182;0;AI;3101;Appenzell;Riedstrasse;21;9050;0;Appenzell;2748822.473;1243664.86;de
1712183;0;AI;3101;Appenzell;Riedstrasse;30;9050;0;Appenzell;2748747.74;1243634.648;de
1712184;0;AI;3101;Appenzell;Riedstrasse;29;9050;0;Appenzell;2748732.455;1243609.963;de
1712185;0;AI;3101;Appenzell;Riedstrasse;31;9050;0;Appenzell;2748712.125;1243611.027;de
1712186;0;AI;3101;Appenzell;Riedstrasse;18a;9050;0;Appenzell;2748804.978;1243741.526;de
1712187;0;AI;3101;Appenzell;Riedstrasse;33;9050;0;Appenzell;2748691.71;1243618.293;de
1712188;0;AI;3101;Appenzell;Riedstrasse;32;9050;0;Appenzell;2748707.113;1243629.92;de
1712189;0;AI;3101;Appenzell;Riedstrasse;34;9050;0;Appenzell;2748670.446;1243635.364;de
1712190;0;AI;3101;Appenzell;Riedstrasse;35;9050;0;Appenzell;2748662.522;1243614.904;de
1712192;0;AI;3101;Appenzell;Riedstrasse;37;9050;0;Appenzell;2748635.95;1243618.179;de
1712193;0;AI;3101;Appenzell;Riedstrasse;38;9050;0;Appenzell;2748621.738;1243661.458;de
1712195;0;AI;3101;Appenzell;Riedstrasse;39a;9050;0;Appenzell;2748602.073;1243640.606;de
1712196;0;AI;3101;Appenzell;Riedstrasse;40;9050;0;Appenzell;2748606.516;1243688.025;de
1712197;0;AI;3101;Appenzell;Riedstrasse;41;9050;0;Appenzell;2748591.673;1243661.978;de
1712198;0;AI;3101;Appenzell;Riedstrasse;42;9050;0;Appenzell;2748575.272;1243683.704;de
1712199;0;AI;3101;Appenzell;Riedstrasse;43;9050;0;Appenzell;2748570.95;1243672.428;de
1712200;0;AI;3101;Appenzell;Riedstrasse;44;9050;0;Appenzell;2748558.518;1243709.978;de
1712201;0;AI;3101;Appenzell;Riedstrasse;45;9050;0;Appenzell;2748547.003;1243681.607;de
1712202;0;AI;3101;Appenzell;Riedstrasse;46;9050;0;Appenzell;2748521.872;1243715.887;de
1712204;0;AI;3101;Appenzell;Riedstrasse;48;9050;0;Appenzell;2748508.885;1243726.643;de
1712206;0;AI;3101;Appenzell;Riedstrasse;50;9050;0;Appenzell;2748523.63;1243747.989;de
1712207;0;AI;3101;Appenzell;Riedstrasse;51;9050;0;Appenzell;2748436.43;1243677.332;de
1712208;0;AI;3101;Appenzell;Riedstrasse;52;9050;0;Appenzell;2748482.633;1243750.72;de
1712209;0;AI;3101;Appenzell;Riedstrasse;53;9050;0;Appenzell;2748404.813;1243524.549;de
1712210;0;AI;3101;Appenzell;Riedstrasse;54;9050;0;Appenzell;2748491.023;1243763.358;de
1712211;0;AI;3101;Appenzell;Riedstrasse;55;9050;0;Appenzell;2748532.834;1243440.262;de
1712212;0;AI;3101;Appenzell;Riedstrasse;56;9050;0;Appenzell;2748497.928;1243782.054;de
1712213;0;AI;3101;Appenzell;Riedstrasse;57;9050;0;Appenzell;2748549.867;1243478.806;de
1712214;0;AI;3101;Appenzell;Riedstrasse;58;9050;0;Appenzell;2748501.764;1243801.29;de
1712215;0;AI;3101;Appenzell;Lehnmattstrasse;17;9050;0;Appenzell;2748757.629;1244721.165;de
1712216;0;AI;3101;Appenzell;Riedstrasse;62;9050;0;Appenzell;2748539.086;1243760.853;de
1712217;0;AI;3101;Appenzell;Riedstrasse;62a;9050;0;Appenzell;2748542.027;1243774.222;de
1712218;0;AI;3101;Appenzell;Riedstrasse;64a;9050;0;Appenzell;2748564.629;1243742.385;de
1712219;0;AI;3101;Appenzell;Riedstrasse;64;9050;0;Appenzell;2748556.28;1243729.896;de
1712220;0;AI;3101;Appenzell;Riedstrasse;66;9050;0;Appenzell;2748581.33;1243727.349;de
1712221;0;AI;3101;Appenzell;Jakob Signer-Strasse;1;9050;0;Appenzell;2748885.067;1243899.278;de
1712222;0;AI;3101;Appenzell;Jakob Signer-Strasse;2;9050;0;Appenzell;2748879.097;1243953.08;de
1712223;0;AI;3101;Appenzell;Jakob Signer-Strasse;3;9050;0;Appenzell;2748892.173;1243869.669;de
1712224;0;AI;3101;Appenzell;Jakob Signer-Strasse;3a;9050;0;Appenzell;2748911.425;1243870.098;de
1712225;0;AI;3101;Appenzell;Jakob Signer-Strasse;4;9050;0;Appenzell;2748877.54;1243934.298;de
1712226;0;AI;3101;Appenzell;Jakob Signer-Strasse;5;9050;0;Appenzell;2748876.474;1243855.48;de
1712227;0;AI;3101;Appenzell;Jakob Signer-Strasse;6;9050;0;Appenzell;2748870.764;1243901.401;de
1712228;0;AI;3101;Appenzell;Jakob Signer-Strasse;6a;9050;0;Appenzell;2748835.155;1243892.263;de
1712229;0;AI;3101;Appenzell;Jakob Signer-Strasse;7;9050;0;Appenzell;2748872.366;1243835.038;de
1712230;0;AI;3101;Appenzell;Jakob Signer-Strasse;8;9050;0;Appenzell;2748867.629;1243872.646;de
1712231;0;AI;3101;Appenzell;Jakob Signer-Strasse;8a;9050;0;Appenzell;2748849.362;1243871.243;de
1712232;0;AI;3101;Appenzell;Jakob Signer-Strasse;9;9050;0;Appenzell;2748885.415;1243833.36;de
1712233;0;AI;3101;Appenzell;Jakob Signer-Strasse;10;9050;0;Appenzell;2748861.859;1243847.162;de
1712234;0;AI;3101;Appenzell;Jakob Signer-Strasse;11;9050;0;Appenzell;2748865.728;1243818.291;de
1712236;0;AI;3101;Appenzell;Jakob Signer-Strasse;14;9050;0;Appenzell;2748852.412;1243802.704;de
1712238;0;AI;3101;Appenzell;Jakob Signer-Strasse;14b;9050;0;Appenzell;2748813.614;1243812.634;de
1712239;0;AI;3101;Appenzell;Rosengärtliweg;2a;9050;0;Appenzell;2748832.676;1243944.746;de
1712241;0;AI;3101;Appenzell;Rosengärtliweg;6;9050;0;Appenzell;2748780.987;1243927.338;de
1712242;0;AI;3101;Appenzell;Rosengärtliweg;8;9050;0;Appenzell;2748767.285;1243918.522;de
1712243;0;AI;3101;Appenzell;Rosengärtliweg;10;9050;0;Appenzell;2748758.908;1243904.894;de
1712244;0;AI;3101;Appenzell;Rosengärtliweg;14;9050;0;Appenzell;2748752.095;1243881.761;de
1712245;0;AI;3101;Appenzell;Rosengärtliweg;16;9050;0;Appenzell;2748774.699;1243867.248;de
1712246;0;AI;3101;Appenzell;Rosengärtliweg;3;9050;0;Appenzell;2748783.901;1243883.03;de
1712247;0;AI;3101;Appenzell;Wührestrasse;4;9050;0;Appenzell;2748823.951;1243918.747;de
1712248;0;AI;3101;Appenzell;Wührestrasse;1;9050;0;Appenzell;2748844.55;1243925.297;de
1712249;0;AI;3101;Appenzell;Wührestrasse;5;9050;0;Appenzell;2748808.638;1243855.622;de
1712250;0;AI;3101;Appenzell;Wührestrasse;8;9050;0;Appenzell;2748797.277;1243850.149;de
1712251;0;AI;3101;Appenzell;Wührestrasse;5a;9050;0;Appenzell;2748815.94;1243836.554;de
1712252;0;AI;3101;Appenzell;Wührestrasse;7;9050;0;Appenzell;2748796.782;1243830.4;de
1712253;0;AI;3101;Appenzell;Wührestrasse;10a;9050;0;Appenzell;2748767.111;1243849.509;de
1712254;0;AI;3101;Appenzell;Wührestrasse;2;9050;0;Appenzell;2748855.929;1243961.109;de
1712255;0;AI;3101;Appenzell;Wührestrasse;10;9050;0;Appenzell;2748785.747;1243826.569;de
1712256;0;AI;3101;Appenzell;Wührestrasse;12;9050;0;Appenzell;2748775.699;1243808.233;de
1712258;0;AI;3101;Appenzell;Wührestrasse;14;9050;0;Appenzell;2748759.536;1243791.927;de
1712259;0;AI;3101;Appenzell;Wührestrasse;14a;9050;0;Appenzell;2748757.694;1243810.904;de
1712260;0;AI;3101;Appenzell;Wührestrasse;13;9050;0;Appenzell;2748783.152;1243747.978;de
1712261;0;AI;3101;Appenzell;Wührestrasse;15;9050;0;Appenzell;2748759.238;1243741.449;de
1712262;0;AI;3101;Appenzell;Wührestrasse;18;9050;0;Appenzell;2748742.119;1243732.133;de
1712263;0;AI;3101;Appenzell;Wührestrasse;17;9050;0;Appenzell;2748767.975;1243711.736;de
1712264;0;AI;3101;Appenzell;Wührestrasse;34;9050;0;Appenzell;2748732.214;1243685.708;de
1712265;0;AI;3101;Appenzell;Wührestrasse;20;9050;0;Appenzell;2748711.882;1243712.678;de
1712266;0;AI;3101;Appenzell;Wührestrasse;32;9050;0;Appenzell;2748707.982;1243687.873;de
1712267;0;AI;3101;Appenzell;Wührestrasse;22;9050;0;Appenzell;2748678.934;1243704.522;de
1712268;0;AI;3101;Appenzell;Wührestrasse;24;9050;0;Appenzell;2748659.132;1243698.29;de
1712269;0;AI;3101;Appenzell;Wührestrasse;21;9050;0;Appenzell;2748752.307;1243673.106;de
1712271;0;AI;3101;Appenzell;Wührestrasse;36;9050;0;Appenzell;2748725.192;1243656.582;de
1712273;0;AI;3101;Appenzell;Wührestrasse;28;9050;0;Appenzell;2748655.127;1243674.027;de
1712274;0;AI;3101;Appenzell;Wührestrasse;30;9050;0;Appenzell;2748688.886;1243681.856;de
1712275;0;AI;3101;Appenzell;Wührestrasse;30a;9050;0;Appenzell;2748684.485;1243659.736;de
1712276;0;AI;3101;Appenzell;Wührestrasse;32a;9050;0;Appenzell;2748700.745;1243664.052;de
1712277;0;AI;3101;Appenzell;Wührestrasse;9;9050;0;Appenzell;2748786.317;1243795.009;de
1712280;0;AI;3101;Appenzell;Jakob Signer-Strasse;14a;9050;0;Appenzell;2748839.613;1243806.634;de
1712281;0;AI;3101;Appenzell;Wührestrasse;6;9050;0;Appenzell;2748814.073;1243886.517;de
1712282;0;AI;3101;Appenzell;Schützenwiesstrasse;2;9050;0;Appenzell;2748917.642;1243585.253;de
1712283;0;AI;3101;Appenzell;Schützenwiesstrasse;1;9050;0;Appenzell;2748932.387;1243625.087;de
1712284;0;AI;3101;Appenzell;Schützenwiesstrasse;1a;9050;0;Appenzell;2748939.988;1243623.481;de
1712285;0;AI;3101;Appenzell;Schützenwiesstrasse;3;9050;0;Appenzell;2748941.244;1243597.921;de
1712286;0;AI;3101;Appenzell;Schützenwiesstrasse;5;9050;0;Appenzell;2748961.529;1243603.202;de
1712287;0;AI;3101;Appenzell;Schützenwiesstrasse;4;9050;0;Appenzell;2748925.384;1243562.282;de
1712288;0;AI;3101;Appenzell;Schützenwiesstrasse;6;9050;0;Appenzell;2748919.693;1243546.39;de
1712289;0;AI;3101;Appenzell;Schützenwiesstrasse;7;9050;0;Appenzell;2748961.766;1243576.806;de
1712290;0;AI;3101;Appenzell;Schützenwiesstrasse;8;9050;0;Appenzell;2748912.871;1243520.055;de
1712291;0;AI;3101;Appenzell;Gaiserstrasse;183;9050;5;Appenzell Meistersrüte;2751188.035;1246657.803;de
1712292;0;AI;3101;Appenzell;Schützenwiesstrasse;9a;9050;0;Appenzell;2748959.988;1243559.971;de
1712293;0;AI;3101;Appenzell;Schützenwiesstrasse;10;9050;0;Appenzell;2748908.602;1243501.164;de
1712294;0;AI;3101;Appenzell;Schützenwiesstrasse;11;9050;0;Appenzell;2748946.406;1243533.946;de
