EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
490001;0;AR;3001;Herisau;Oberdorfstrasse;2;9100;0;Herisau;2738958.316;1249925.523;de
490002;0;AR;3001;Herisau;Oberdorfstrasse;4;9100;0;Herisau;2738954.314;1249915.936;de
490003;0;AR;3001;Herisau;Oberdorfstrasse;4b;9100;0;Herisau;2738936.054;1249914.425;de
490004;0;AR;3001;Herisau;Oberdorfstrasse;6;9100;0;Herisau;2738967.591;1249909.694;de
490005;0;AR;3001;Herisau;Oberdorfstrasse;8;9100;0;Herisau;2738947.703;1249893.675;de
490006;0;AR;3001;Herisau;Oberdorfstrasse;27;9100;0;Herisau;2739068.06;1249912.371;de
490007;0;AR;3001;Herisau;Oberdorfstrasse;29;9100;0;Herisau;2739078.949;1249910.789;de
490008;0;AR;3001;Herisau;Oberdorfstrasse;31;9100;0;Herisau;2739089.359;1249904.976;de
490009;0;AR;3001;Herisau;Oberdorfstrasse;33;9100;0;Herisau;2739095.792;1249903.739;de
490010;0;AR;3001;Herisau;Oberdorfstrasse;35;9100;0;Herisau;2739113.069;1249902.864;de
490011;0;AR;3001;Herisau;Oberdorfstrasse;45;9100;0;Herisau;2739185.888;1249912.818;de
490012;0;AR;3001;Herisau;Oberdorfstrasse;49;9100;0;Herisau;2739190.134;1249936.827;de
490013;0;AR;3001;Herisau;Oberdorfstrasse;53;9100;0;Herisau;2739206.642;1249926.521;de
490014;0;AR;3001;Herisau;Oberdorfstrasse;53a;9100;0;Herisau;2739199.058;1249939.236;de
490015;0;AR;3001;Herisau;Oberdorfstrasse;53b;9100;0;Herisau;2739194.7;1249957.672;de
490016;0;AR;3001;Herisau;Oberdorfstrasse;55;9100;0;Herisau;2739220.422;1249959.471;de
490017;0;AR;3001;Herisau;Oberdorfstrasse;57;9100;0;Herisau;2739238.71;1249943.935;de
490019;0;AR;3001;Herisau;Kasernenstrasse;10;9100;0;Herisau;2739176.35;1249967.597;de
490020;0;AR;3001;Herisau;Kasernenstrasse;12;9100;0;Herisau;2739192.813;1249980.491;de
490021;0;AR;3001;Herisau;Gutenbergstrasse;1;9100;0;Herisau;2739181.638;1249955.169;de
490022;0;AR;3001;Herisau;Gutenbergstrasse;2;9100;0;Herisau;2739147.701;1249940.673;de
490023;0;AR;3001;Herisau;Gutenbergstrasse;3;9100;0;Herisau;2739171.05;1249934.293;de
490024;0;AR;3001;Herisau;Obstmarkt;7;9100;0;Herisau;2739059.871;1249913.422;de
490025;0;AR;3001;Herisau;Platz;11;9100;0;Herisau;2738922.421;1249943.842;de
490026;0;AR;3001;Herisau;Platz;12;9100;0;Herisau;2738934.659;1249955.598;de
490027;0;AR;3001;Herisau;Warteggstrasse;3a;9100;0;Herisau;2739058;1250018;de
490028;0;AR;3001;Herisau;Warteggstrasse;5;9100;0;Herisau;2739080.58;1250007.362;de
490031;0;AR;3001;Herisau;Kasernenstrasse;9a;9100;0;Herisau;2739150.553;1250033.876;de
490032;0;AR;3001;Herisau;Sonnenhof;1;9100;0;Herisau;2739160.112;1250081.957;de
490033;0;AR;3001;Herisau;Sonnenhof;3;9100;0;Herisau;2739171.515;1250087.391;de
490034;0;AR;3001;Herisau;Sonnenhof;5;9100;0;Herisau;2739179.946;1250091.552;de
490035;0;AR;3001;Herisau;Buchenstrasse;5;9100;0;Herisau;2739214.441;1250071.508;de
490036;0;AR;3001;Herisau;Buchenstrasse;4;9100;0;Herisau;2739234.661;1250055.48;de
490037;0;AR;3001;Herisau;Buchenstrasse;2;9100;0;Herisau;2739240.346;1250041.856;de
490043;0;AR;3001;Herisau;Warteggstrasse;1;9100;0;Herisau;2739046.658;1250022.657;de
490044;0;AR;3001;Herisau;Bachstrasse;6;9100;0;Herisau;2739039.575;1250036.559;de
490045;0;AR;3001;Herisau;Bachstrasse;10;9100;0;Herisau;2739070.479;1250039.248;de
490046;0;AR;3001;Herisau;Bachstrasse;18;9100;0;Herisau;2739112.073;1250037.505;de
490047;0;AR;3001;Herisau;Bachstrasse;20;9100;0;Herisau;2739115.357;1250061.62;de
490048;0;AR;3001;Herisau;Bachstrasse;22;9100;0;Herisau;2739129.462;1250069.596;de
490049;0;AR;3001;Herisau;Kasernenstrasse;17;9100;0;Herisau;2739205.08;1250030.266;de
490050;0;AR;3001;Herisau;Kasernenstrasse;15;9100;0;Herisau;2739191.36;1250005.952;de
490051;0;AR;3001;Herisau;Kasernenstrasse;13;9100;0;Herisau;2739174.4;1249997.551;de
