EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
440001;0;BS;2701;Basel;Rheinsprung;2;4051;0;Basel;2611295.944;1267629.621;de
440002;0;BS;2701;Basel;Rheinsprung;4;4051;0;Basel;2611299.762;1267625.971;de
440003;0;BS;2701;Basel;Rheinsprung;6;4051;0;Basel;2611305.339;1267620.079;de
440004;0;BS;2701;Basel;Rheinsprung;7;4051;0;Basel;2611315.6;1267620.201;de
440005;0;BS;2701;Basel;Rheinsprung;8;4051;0;Basel;2611309.764;1267613.903;de
440006;0;BS;2701;Basel;Rheinsprung;9;4051;0;Basel;2611328.457;1267597.091;de
440007;0;BS;2701;Basel;Rheinsprung;10;4051;0;Basel;2611315.975;1267606.098;de
440008;0;BS;2701;Basel;Rheinsprung;14;4051;0;Basel;2611327.081;1267584.612;de
440009;0;BS;2701;Basel;Rheinsprung;17;4051;0;Basel;2611393.324;1267516.028;de
440010;0;BS;2701;Basel;Rheinsprung;20;4051;0;Basel;2611390.991;1267511.046;de
440011;0;BS;2701;Basel;Rheinsprung;22;4051;0;Basel;2611398.771;1267501.969;de
440012;0;BS;2701;Basel;Augustinergasse;1;4051;0;Basel;2611429.331;1267476.145;de
440014;0;BS;2701;Basel;Augustinergasse;4;4051;0;Basel;2611452.322;1267429.457;de
440015;0;BS;2701;Basel;Augustinergasse;5;4051;0;Basel;2611444.163;1267458.257;de
440016;0;BS;2701;Basel;Augustinergasse;7;4051;0;Basel;2611447.088;1267454.136;de
440017;0;BS;2701;Basel;Augustinergasse;9;4051;0;Basel;2611449.885;1267450.639;de
440018;0;BS;2701;Basel;Augustinergasse;11;4051;0;Basel;2611454.376;1267444.811;de
440019;0;BS;2701;Basel;Augustinergasse;13;4051;0;Basel;2611458.62;1267439.288;de
440020;0;BS;2701;Basel;Augustinergasse;15;4051;0;Basel;2611461.943;1267434.696;de
440021;0;BS;2701;Basel;Augustinergasse;17;4051;0;Basel;2611466.039;1267428.958;de
440022;0;BS;2701;Basel;Augustinergasse;19;4051;0;Basel;2611472.734;1267418.259;de
440023;0;BS;2701;Basel;Augustinergasse;21;4051;0;Basel;2611478.822;1267407.333;de
440024;0;BS;2701;Basel;Münsterplatz;2;4051;0;Basel;2611490.922;1267380.873;de
440025;0;BS;2701;Basel;Münsterplatz;4;4051;0;Basel;2611515.572;1267387.501;de
440026;0;BS;2701;Basel;Münsterplatz;6;4051;0;Basel;2611525.64;1267388.43;de
440027;0;BS;2701;Basel;Münsterplatz;7;4051;0;Basel;2611536.407;1267376.991;de
440028;0;BS;2701;Basel;Münsterplatz;8;4051;0;Basel;2611553.506;1267359.849;de
440029;0;BS;2701;Basel;Münsterplatz;10;4051;0;Basel;2611530.968;1267256.308;de
440030;0;BS;2701;Basel;Münsterplatz;13;4051;0;Basel;2611502.354;1267250.507;de
440031;0;BS;2701;Basel;Münsterplatz;16;4051;0;Basel;2611488.744;1267314.032;de
440032;0;BS;2701;Basel;Münsterplatz;20;4051;0;Basel;2611459.199;1267386.82;de
440033;0;BS;2701;Basel;Rittergasse;1;4051;0;Basel;2611606.682;1267271.367;de
440034;0;BS;2701;Basel;Rittergasse;7;4051;0;Basel;2611663.918;1267256.297;de
440035;0;BS;2701;Basel;Rittergasse;13;4051;0;Basel;2611674.569;1267228.283;de
440036;0;BS;2701;Basel;Rittergasse;16;4051;0;Basel;2611640.337;1267149.222;de
440037;0;BS;2701;Basel;Rittergasse;15;4051;0;Basel;2611687.214;1267233.899;de
440039;0;BS;2701;Basel;Rittergasse;19;4051;0;Basel;2611694.952;1267235.381;de
440041;0;BS;2701;Basel;Rittergasse;27;4051;0;Basel;2611674.681;1267168.506;de
440042;0;BS;2701;Basel;Rittergasse;29;4051;0;Basel;2611690.685;1267158.061;de
440043;0;BS;2701;Basel;Rittergasse;33;4051;0;Basel;2611712.215;1267145.254;de
440044;0;BS;2701;Basel;Rittergasse;35;4051;0;Basel;2611719.759;1267140.896;de
440046;0;BS;2701;Basel;Luftgässlein;3;4051;0;Basel;2611606.225;1267135.079;de
440047;0;BS;2701;Basel;Luftgässlein;4;4051;0;Basel;2611594.726;1267105.561;de
440048;0;BS;2701;Basel;Bäumleingasse;9;4051;0;Basel;2611598.452;1267165.309;de
440049;0;BS;2701;Basel;Bäumleingasse;11;4051;0;Basel;2611606.723;1267169.254;de
440050;0;BS;2701;Basel;Bäumleingasse;13;4051;0;Basel;2611612.329;1267172.231;de
440051;0;BS;2701;Basel;Bäumleingasse;15;4051;0;Basel;2611620.296;1267177.088;de
440052;0;BS;2701;Basel;Bäumleingasse;16;4051;0;Basel;2611564.684;1267138.034;de
440053;0;BS;2701;Basel;Münsterberg;11;4051;0;Basel;2611489.066;1267229.617;de
440054;0;BS;2701;Basel;Münsterberg;13;4051;0;Basel;2611497.015;1267235.923;de
440055;0;BS;2701;Basel;Münsterberg;2;4051;0;Basel;2611479.134;1267174.574;de
440056;0;BS;2701;Basel;Münsterberg;8;4051;0;Basel;2611481.687;1267189.308;de
440057;0;BS;2701;Basel;Münsterberg;10;4051;0;Basel;2611482.172;1267195.514;de
440058;0;BS;2701;Basel;Münsterberg;14;4051;0;Basel;2611483.419;1267207.223;de
440059;0;BS;2701;Basel;Münsterberg;16;4051;0;Basel;2611485.586;1267216.183;de
440060;0;BS;2701;Basel;Schlüsselberg;15;4051;0;Basel;2611437.805;1267356.469;de
440061;0;BS;2701;Basel;Stapfelberg;7;4051;0;Basel;2611352.035;1267433.435;de
440062;0;BS;2701;Basel;Stapfelberg;4;4051;0;Basel;2611356.639;1267428.961;de
440063;0;BS;2701;Basel;Stapfelberg;6;4051;0;Basel;2611367.033;1267437.38;de
440064;0;BS;2701;Basel;Rheinsprung;16;4051;0;Basel;2611358.101;1267547.42;de
440065;0;BS;2701;Basel;Martinsgasse;7;4051;0;Basel;2611389.629;1267491.874;de
440066;0;BS;2701;Basel;Martinsgasse;9;4051;0;Basel;2611363.645;1267469.96;de
440067;0;BS;2701;Basel;Martinsgasse;15;4051;0;Basel;2611405.41;1267475.48;de
440068;0;BS;2701;Basel;Martinsgasse;11;4051;0;Basel;2611377.881;1267460.19;de
440069;0;BS;2701;Basel;Martinsgasse;13;4051;0;Basel;2611389.195;1267464.036;de
440070;0;BS;2701;Basel;Martinsgasse;14;4051;0;Basel;2611323.83;1267471.057;de
440071;0;BS;2701;Basel;Martinsgasse;16;4051;0;Basel;2611350.107;1267474.832;de
440072;0;BS;2701;Basel;Martinsgasse;18;4051;0;Basel;2611357.415;1267466.553;de
440073;0;BS;2701;Basel;Martinskirchplatz;1;4051;0;Basel;2611313.511;1267579.384;de
440074;0;BS;2701;Basel;Martinskirchplatz;2;4051;0;Basel;2611310.671;1267585.304;de
440075;0;BS;2701;Basel;St. Alban-Graben;5;4051;0;Basel;2611633.662;1267076.873;de
440076;0;BS;2701;Basel;Eisengasse;5;4051;0;Basel;2611279.447;1267639.379;de
440077;0;BS;2701;Basel;Eisengasse;9;4051;0;Basel;2611262.024;1267631.197;de
440078;0;BS;2701;Basel;Eisengasse;6;4051;0;Basel;2611250.907;1267645.795;de
440079;0;BS;2701;Basel;Eisengasse;10;4051;0;Basel;2611232.44;1267630.59;de
440080;0;BS;2701;Basel;Marktplatz;9;4001;0;Basel;2611253.113;1267502.564;de
440081;0;BS;2701;Basel;Marktplatz;13;4001;0;Basel;2611270.474;1267468.572;de
440082;0;BS;2701;Basel;Marktplatz;19;4001;0;Basel;2611203.051;1267494.963;de
440083;0;BS;2701;Basel;Marktplatz;18;4001;0;Basel;2611206.543;1267486.474;de
440084;0;BS;2701;Basel;Marktplatz;30;4001;0;Basel;2611185.903;1267534.135;de
440085;0;BS;2701;Basel;Freie Strasse;1;4001;0;Basel;2611277.444;1267458.424;de
440086;0;BS;2701;Basel;Freie Strasse;3;4001;0;Basel;2611285.933;1267446.247;de
440087;0;BS;2701;Basel;Freie Strasse;9;4001;0;Basel;2611296.927;1267435.542;de
440088;0;BS;2701;Basel;Freie Strasse;15;4001;0;Basel;2611306.227;1267422.626;de
440089;0;BS;2701;Basel;Freie Strasse;25;4001;0;Basel;2611335.584;1267391.851;de
440090;0;BS;2701;Basel;Freie Strasse;27;4001;0;Basel;2611345.705;1267383.56;de
440091;0;BS;2701;Basel;Freie Strasse;35;4001;0;Basel;2611353.341;1267365.034;de
440092;0;BS;2701;Basel;Freie Strasse;39;4001;0;Basel;2611380.448;1267324.344;de
440093;0;BS;2701;Basel;Freie Strasse;45;4001;0;Basel;2611394.36;1267303.418;de
440095;0;BS;2701;Basel;Freie Strasse;59;4001;0;Basel;2611422.186;1267258.95;de
440096;0;BS;2701;Basel;Freie Strasse;69;4001;0;Basel;2611434.142;1267236.719;de
440097;0;BS;2701;Basel;Freie Strasse;93;4051;0;Basel;2611496.163;1267145.214;de
440099;0;BS;2701;Basel;Freie Strasse;97;4051;0;Basel;2611507.46;1267139.352;de
440100;0;BS;2701;Basel;Freie Strasse;103;4051;0;Basel;2611519.11;1267105.594;de
440101;0;BS;2701;Basel;Freie Strasse;105;4051;0;Basel;2611524.963;1267094.33;de
440102;0;BS;2701;Basel;Freie Strasse;2;4001;0;Basel;2611266.057;1267451.124;de
440103;0;BS;2701;Basel;Freie Strasse;2a;4001;0;Basel;2611274.054;1267440.667;de
440104;0;BS;2701;Basel;Freie Strasse;6;4001;0;Basel;2611284.91;1267423.358;de
440105;0;BS;2701;Basel;Freie Strasse;10;4001;0;Basel;2611295.459;1267414.347;de
440106;0;BS;2701;Basel;Freie Strasse;34;4001;0;Basel;2611365.992;1267316.342;de
440107;0;BS;2701;Basel;Freie Strasse;40;4001;0;Basel;2611394.083;1267278.941;de
440108;0;BS;2701;Basel;Freie Strasse;44;4001;0;Basel;2611405.429;1267261.736;de
440109;0;BS;2701;Basel;Freie Strasse;72;4051;0;Basel;2611482.891;1267136.775;de
440110;0;BS;2701;Basel;Freie Strasse;74;4051;0;Basel;2611490.267;1267125.373;de
440111;0;BS;2701;Basel;Freie Strasse;82;4051;0;Basel;2611504.959;1267102.753;de
440112;0;BS;2701;Basel;Falknerstrasse;1;4001;0;Basel;2611314.213;1267337.722;de
440113;0;BS;2701;Basel;Falknerstrasse;5;4001;0;Basel;2611320.699;1267314.715;de
440114;0;BS;2701;Basel;Falknerstrasse;7;4001;0;Basel;2611322.639;1267307.409;de
440115;0;BS;2701;Basel;Falknerstrasse;13;4001;0;Basel;2611327.379;1267273.301;de
440116;0;BS;2701;Basel;Falknerstrasse;31;4001;0;Basel;2611340.347;1267217.393;de
440118;0;BS;2701;Basel;Falknerstrasse;12;4001;0;Basel;2611308.437;1267282.554;de
440119;0;BS;2701;Basel;Falknerstrasse;32;4001;0;Basel;2611317.571;1267237.196;de
440120;0;BS;2701;Basel;Falknerstrasse;36;4001;0;Basel;2611322.325;1267219.884;de
440121;0;BS;2701;Basel;Gerbergasse;3;4001;0;Basel;2611252.751;1267424.822;de
440122;0;BS;2701;Basel;Gerbergasse;11;4001;0;Basel;2611259.045;1267407.825;de
440123;0;BS;2701;Basel;Gerbergasse;39;4001;0;Basel;2611294.413;1267274.188;de
440124;0;BS;2701;Basel;Gerbergasse;41;4001;0;Basel;2611295.195;1267269.398;de
440125;0;BS;2701;Basel;Gerbergasse;43;4001;0;Basel;2611295.883;1267263.824;de
440126;0;BS;2701;Basel;Gerbergasse;45;4001;0;Basel;2611297.788;1267255.894;de
440127;0;BS;2701;Basel;Gerbergasse;67;4001;0;Basel;2611310.037;1267202.249;de
440128;0;BS;2701;Basel;Gerbergasse;12;4001;0;Basel;2611241.076;1267415.657;de
440129;0;BS;2701;Basel;Gerbergasse;16;4001;0;Basel;2611246.806;1267396.549;de
440130;0;BS;2701;Basel;Gerbergasse;20;4001;0;Basel;2611251.48;1267382.981;de
440131;0;BS;2701;Basel;Gerbergasse;26;4001;0;Basel;2611261.031;1267355.28;de
440132;0;BS;2701;Basel;Gerbergasse;30;4001;0;Basel;2611273.363;1267331.324;de
440133;0;BS;2701;Basel;Gerbergasse;40;4001;0;Basel;2611279.846;1267310.847;de
440134;0;BS;2701;Basel;Gerbergässlein;7;4051;0;Basel;2611258.416;1267294.575;de
440135;0;BS;2701;Basel;Gerbergasse;50;4001;0;Basel;2611287.975;1267247.709;de
440136;0;BS;2701;Basel;Gerbergasse;52;4001;0;Basel;2611289.84;1267241.848;de
440137;0;BS;2701;Basel;Gerbergasse;54;4001;0;Basel;2611290.867;1267236.252;de
440138;0;BS;2701;Basel;Gerbergasse;56;4001;0;Basel;2611291.913;1267229.849;de
440139;0;BS;2701;Basel;Gerbergasse;58;4001;0;Basel;2611292.457;1267226.007;de
440140;0;BS;2701;Basel;Gerbergasse;60;4001;0;Basel;2611292.802;1267221.941;de
440141;0;BS;2701;Basel;Marktgasse;3;4051;0;Basel;2611221.042;1267671.993;de
440142;0;BS;2701;Basel;Marktgasse;5;4051;0;Basel;2611211.374;1267659.17;de
440143;0;BS;2701;Basel;Marktgasse;11;4051;0;Basel;2611204.514;1267648.67;de
440144;0;BS;2701;Basel;Marktgasse;4;4051;0;Basel;2611207.035;1267684.015;de
440145;0;BS;2701;Basel;Marktgasse;6;4051;0;Basel;2611199.802;1267673.102;de
440146;0;BS;2701;Basel;Marktgasse;12;4051;0;Basel;2611170.427;1267593.687;de
440147;0;BS;2701;Basel;Marktgasse;14;4051;0;Basel;2611172.436;1267588.316;de
440148;0;BS;2701;Basel;Spiegelgasse;11;4051;0;Basel;2611170.729;1267692.577;de
440149;0;BS;2701;Basel;Spiegelgasse;15;4051;0;Basel;2611169.914;1267682.918;de
440150;0;BS;2701;Basel;Stadthausgasse;11;4051;0;Basel;2611157.084;1267548.321;de
440151;0;BS;2701;Basel;Stadthausgasse;10;4051;0;Basel;2611158.667;1267564.382;de
440152;0;BS;2701;Basel;Stadthausgasse;18;4051;0;Basel;2611158.18;1267578.264;de
440153;0;BS;2701;Basel;Stadthausgasse;24;4051;0;Basel;2611158.839;1267597.403;de
440154;0;BS;2701;Basel;Schneidergasse;7;4051;0;Basel;2611157.576;1267522.588;de
440155;0;BS;2701;Basel;Schneidergasse;11;4051;0;Basel;2611156.25;1267505.41;de
440156;0;BS;2701;Basel;Schneidergasse;21;4051;0;Basel;2611155.654;1267482.101;de
440157;0;BS;2701;Basel;Glockengasse;4;4051;0;Basel;2611177.219;1267475.743;de
440158;0;BS;2701;Basel;St. Alban-Graben;1;4051;0;Basel;2611560.468;1267049.307;de
440159;0;BS;2701;Basel;Steinenberg;14;4051;0;Basel;2611345.764;1267066.728;de
440160;0;BS;2701;Basel;Gerbergasse;89;4001;0;Basel;2611315.943;1267169.393;de
440161;0;BS;2701;Basel;Barfüssergasse;6;4051;0;Basel;2611477.148;1267109.13;de
440162;0;BS;2701;Basel;Barfüssergasse;8;4051;0;Basel;2611468.969;1267105.95;de
