EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
290001;0;GL;1631;Glarus Süd;Winkel;1;8777;2;Betschwanden;2721230.114;1200754.766;de
290002;0;GL;1631;Glarus Süd;Steinigen;8;8777;2;Betschwanden;2721185.606;1200781.503;de
290003;0;GL;1631;Glarus Süd;Winkel;2;8777;2;Betschwanden;2721209.497;1200734.077;de
290004;0;GL;1631;Glarus Süd;Steinigen;6;8777;2;Betschwanden;2721149.607;1200799.913;de
290005;0;GL;1631;Glarus Süd;Steinigen;4;8777;2;Betschwanden;2721127.661;1200809.107;de
290006;0;GL;1631;Glarus Süd;Steinigen;2;8777;2;Betschwanden;2721098.814;1200816.647;de
290008;0;GL;1631;Glarus Süd;Waldstrasse;4;8777;2;Betschwanden;2721058.578;1200801.807;de
290009;0;GL;1631;Glarus Süd;Waldstrasse;5;8777;2;Betschwanden;2721079.159;1200781.617;de
290010;0;GL;1631;Glarus Süd;Waldstrasse;7;8777;2;Betschwanden;2721061.809;1200764.149;de
290011;0;GL;1631;Glarus Süd;Obere Allmeind;1;8777;2;Betschwanden;2721089.443;1200752.97;de
290012;0;GL;1631;Glarus Süd;Obere Allmeind;4;8777;2;Betschwanden;2721080.3;1200728.374;de
290013;0;GL;1631;Glarus Süd;Obere Allmeind;2;8777;2;Betschwanden;2721061.796;1200738.516;de
290014;0;GL;1631;Glarus Süd;Waldstrasse;6;8777;2;Betschwanden;2721028.886;1200747.038;de
290015;0;GL;1631;Glarus Süd;Waldstrasse;8;8777;2;Betschwanden;2721018.721;1200730.129;de
290016;0;GL;1631;Glarus Süd;Dörfli;22;8777;2;Betschwanden;2721029.662;1200684.406;de
290017;0;GL;1631;Glarus Süd;Waldstrasse;10;8777;2;Betschwanden;2721050.029;1200651.79;de
290019;0;GL;1631;Glarus Süd;Waldstrasse;17;8777;2;Betschwanden;2721062.391;1200587.291;de
290020;0;GL;1631;Glarus Süd;Waldstrasse;19a;8777;2;Betschwanden;2721075.111;1200571.709;de
290021;0;GL;1631;Glarus Süd;Waldstrasse;23;8777;2;Betschwanden;2720841.416;1200214.68;de
290023;0;GL;1631;Glarus Süd;Dörfli;15;8777;2;Betschwanden;2720989.08;1200698.712;de
290025;0;GL;1631;Glarus Süd;Dörfli;13;8777;2;Betschwanden;2720999.364;1200693.031;de
290026;0;GL;1631;Glarus Süd;Dörfli;11;8777;2;Betschwanden;2721013.707;1200696.697;de
290027;0;GL;1631;Glarus Süd;Dörfli;20;8777;2;Betschwanden;2721015.494;1200684.665;de
290028;0;GL;1631;Glarus Süd;Dörfli;19;8777;2;Betschwanden;2720974.797;1200698.995;de
290029;0;GL;1631;Glarus Süd;Dörfli;17;8777;2;Betschwanden;2720975.949;1200697.959;de
290030;0;GL;1631;Glarus Süd;Dörfli;1;8777;2;Betschwanden;2720953.669;1200674.313;de
290031;0;GL;1631;Glarus Süd;Dörfli;3;8777;2;Betschwanden;2720962.489;1200672.545;de
290032;0;GL;1631;Glarus Süd;Dörfli;2;8777;2;Betschwanden;2720943.489;1200652.835;de
290033;0;GL;1631;Glarus Süd;Dörfli;4;8777;2;Betschwanden;2720947.305;1200649.143;de
290034;0;GL;1631;Glarus Süd;Dörfli;6;8777;2;Betschwanden;2720971.474;1200659.151;de
290035;0;GL;1631;Glarus Süd;Dörfli;8;8777;2;Betschwanden;2720964.338;1200643.439;de
290036;0;GL;1631;Glarus Süd;Dörfli;10;8777;2;Betschwanden;2720973.985;1200637.068;de
290037;0;GL;1631;Glarus Süd;Dörfli;5;8777;2;Betschwanden;2720981.845;1200668.543;de
290039;0;GL;1631;Glarus Süd;Dörfli;14;8777;2;Betschwanden;2720991.26;1200656.469;de
290040;0;GL;1631;Glarus Süd;Dörfli;18;8777;2;Betschwanden;2721011.099;1200653.014;de
290041;0;GL;1631;Glarus Süd;Waldstrasse;14;8777;2;Betschwanden;2721029.724;1200579.768;de
290042;0;GL;1631;Glarus Süd;Chilchmättli;1;8777;2;Betschwanden;2720861.429;1200573.61;de
290043;0;GL;1631;Glarus Süd;Chilchmättli;2;8777;2;Betschwanden;2720832.381;1200513.401;de
290044;0;GL;1631;Glarus Süd;Hauptstrasse;15;8777;2;Betschwanden;2720748.879;1200520.434;de
290045;0;GL;1631;Glarus Süd;Moos;3;8777;2;Betschwanden;2720706.179;1200495.189;de
290046;0;GL;1631;Glarus Süd;Moos;1;8777;2;Betschwanden;2720702.819;1200502.14;de
290047;0;GL;1631;Glarus Süd;Moos;5;8777;2;Betschwanden;2720649.09;1200450.399;de
