EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
970001;0;JU;6702;Boécourt;Les grands Poiriers;119e;2857;0;Montavon;2584203;1247317;fr
970002;0;JU;6703;Bourrignon;Droit Mont;1;2803;0;Bourrignon;2585726.763;1249079.019;fr
970003;0;JU;6703;Bourrignon;Le Pierque;1;2803;0;Bourrignon;2584172.237;1250097.768;fr
970004;0;JU;6703;Bourrignon;Les Bruyères;1;2803;0;Bourrignon;2583766.483;1249960.443;fr
970005;0;JU;6703;Bourrignon;Bellevue;1;2803;0;Bourrignon;2584151.923;1249464.786;fr
970006;0;JU;6703;Bourrignon;Le Mont;1;2803;0;Bourrignon;2584550.812;1249232.851;fr
970007;0;JU;6703;Bourrignon;La Ventolière;1;2803;0;Bourrignon;2587032.007;1248104.546;fr
970008;0;JU;6703;Bourrignon;La Burgisberg;2;2803;0;Bourrignon;2587580.486;1248888.407;fr
970009;0;JU;6703;Bourrignon;Champs de Courcelles;1;2803;0;Bourrignon;2585302.549;1249769.469;fr
970010;0;JU;6703;Bourrignon;Route Principale;5;2803;0;Bourrignon;2585348.508;1249627.045;fr
970011;0;JU;6703;Bourrignon;Route Principale;23;2803;0;Bourrignon;2585408.663;1249344.344;fr
970013;0;JU;6703;Bourrignon;Droit Mont;6;2803;0;Bourrignon;2585755.528;1248995.562;fr
970014;0;JU;6703;Bourrignon;Droit Mont;5;2803;0;Bourrignon;2585766.357;1249046.621;fr
970015;0;JU;6703;Bourrignon;Droit Mont;4a;2803;0;Bourrignon;2585722;1249026;fr
970016;0;JU;6703;Bourrignon;Droit Mont;3;2803;0;Bourrignon;2585742.406;1249058.579;fr
970017;0;JU;6703;Bourrignon;Route Principale;47;2803;0;Bourrignon;2585639.941;1249129.412;fr
970018;0;JU;6703;Bourrignon;Route Principale;45;2803;0;Bourrignon;2585631.442;1249130.549;fr
970019;0;JU;6703;Bourrignon;Route Principale;43;2803;0;Bourrignon;2585606.193;1249143.996;fr
970020;0;JU;6703;Bourrignon;Route Principale;53;2803;0;Bourrignon;2585689.808;1249082.007;fr
970021;0;JU;6703;Bourrignon;Route Principale;25;2803;0;Bourrignon;2585426.237;1249335.45;fr
970022;0;JU;6703;Bourrignon;Route Principale;29;2803;0;Bourrignon;2585472.463;1249293.219;fr
970023;0;JU;6703;Bourrignon;Route Principale;38;2803;0;Bourrignon;2585414.095;1249315.373;fr
970024;0;JU;6703;Bourrignon;Route Principale;36;2803;0;Bourrignon;2585389.065;1249335.983;fr
970025;0;JU;6703;Bourrignon;Route Principale;34;2803;0;Bourrignon;2585379.639;1249345.516;fr
970026;0;JU;6703;Bourrignon;Route Principale;32;2803;0;Bourrignon;2585361.958;1249364.315;fr
970027;0;JU;6703;Bourrignon;Route Principale;21;2803;0;Bourrignon;2585384.379;1249373.315;fr
970028;0;JU;6703;Bourrignon;Route Principale;30;2803;0;Bourrignon;2585356.047;1249387.854;fr
970029;0;JU;6703;Bourrignon;Route Principale;13;2803;0;Bourrignon;2585389.557;1249475.423;fr
970030;0;JU;6703;Bourrignon;Route de Lucelle;2;2803;0;Bourrignon;2585044.703;1250438.17;fr
970031;0;JU;6703;Bourrignon;Chemin du Tiètre;8;2803;0;Bourrignon;2585448.658;1249444.677;fr
970032;0;JU;6703;Bourrignon;Route Principale;22;2803;0;Bourrignon;2585357.835;1249510.277;fr
970033;0;JU;6703;Bourrignon;Route Principale;24;2803;0;Bourrignon;2585359.136;1249463.423;fr
970034;0;JU;6703;Bourrignon;Chemin du Tiètre;10;2803;0;Bourrignon;2585383.047;1249435.464;fr
970035;0;JU;6703;Bourrignon;Route Principale;11;2803;0;Bourrignon;2585409.73;1249510.536;fr
970036;0;JU;6703;Bourrignon;Route de Lucelle;5;2803;0;Bourrignon;2585090.651;1250614.1;fr
970037;0;JU;6703;Bourrignon;Chemin de Vâ;2;2803;0;Bourrignon;2584860.86;1249394.631;fr
970038;0;JU;6703;Bourrignon;Route Principale;20;2803;0;Bourrignon;2585372.715;1249533.544;fr
970039;0;JU;6703;Bourrignon;Chemin du Tiètre;2;2803;0;Bourrignon;2585392.38;1249565.698;fr
970040;0;JU;6703;Bourrignon;Route Principale;18;2803;0;Bourrignon;2585355.936;1249572.235;fr
970041;0;JU;6703;Bourrignon;Chemin du Tiètre;3;2803;0;Bourrignon;2585411.699;1249579.04;fr
970042;0;JU;6703;Bourrignon;Chemin du Tiètre;1;2803;0;Bourrignon;2585389.491;1249578.667;fr
970043;0;JU;6703;Bourrignon;Route Principale;7;2803;0;Bourrignon;2585367.403;1249587.437;fr
970044;0;JU;6703;Bourrignon;Route Principale;3;2803;0;Bourrignon;2585334.762;1249665.685;fr
970045;0;JU;6703;Bourrignon;Route Principale;14;2803;0;Bourrignon;2585315.017;1249639.858;fr
970046;0;JU;6703;Bourrignon;Place de l'Eglise;10;2803;0;Bourrignon;2585299.992;1249673.699;fr
970047;0;JU;6703;Bourrignon;Route Principale;4;2803;0;Bourrignon;2585287.153;1249725.067;fr
970048;0;JU;6703;Bourrignon;Sous la Chaive;1;2803;0;Bourrignon;2585224.08;1249717.625;fr
970049;0;JU;6703;Bourrignon;Route Principale;16;2803;0;Bourrignon;2585332.776;1249615.895;fr
970050;0;JU;6703;Bourrignon;Champs de Courcelles;3;2803;0;Bourrignon;2585305.866;1249799.368;fr
970051;0;JU;6703;Bourrignon;Les Houelets;1;2803;0;Bourrignon;2586887.763;1248986.786;fr
970052;0;JU;6703;Bourrignon;Les Mermets Dessus;1;2803;0;Bourrignon;2587715;1249228.194;fr
970053;0;JU;6703;Bourrignon;Route de Lucelle;7;2803;0;Bourrignon;2585145.586;1250867.805;fr
970054;0;JU;6703;Bourrignon;La Grangeatte;1;2803;0;Bourrignon;2586645.28;1250013.392;fr
970055;0;JU;6703;Bourrignon;Dos les Cras;1;2803;0;Bourrignon;2586700.553;1249990.912;fr
970056;0;JU;6703;Bourrignon;Do l'Môtie;2;2803;0;Bourrignon;2585279.143;1249653.285;fr
970057;0;JU;6703;Bourrignon;Route Principale;1;2803;0;Bourrignon;2585315.18;1249696.402;fr
970058;0;JU;6703;Bourrignon;Route Principale;6;2803;0;Bourrignon;2585300.89;1249701.08;fr
970059;0;JU;6703;Bourrignon;Route Principale;12;2803;0;Bourrignon;2585315.301;1249657.009;fr
970060;0;JU;6703;Bourrignon;Les Côtes;1;2803;0;Bourrignon;2585574.76;1248236.563;fr
970061;0;JU;6703;Bourrignon;Chésel;1;2803;0;Bourrignon;2588140.015;1247965.437;fr
970062;0;JU;6703;Bourrignon;Champs de Courcelles;4;2803;0;Bourrignon;2585319.986;1249783.525;fr
970063;0;JU;6703;Bourrignon;Route Principale;26;2803;0;Bourrignon;2585364.781;1249413.842;fr
970064;0;JU;6703;Bourrignon;Plainbois;1;2803;0;Bourrignon;2583955.2;1249240;fr
970065;0;JU;6703;Bourrignon;Les Mermets Dessous;1;2803;0;Bourrignon;2586976.085;1249866.875;fr
970066;0;JU;6703;Bourrignon;Champs de Courcelles;6;2803;0;Bourrignon;2585325.133;1249806.641;fr
970067;0;JU;6703;Bourrignon;Droit de Chésel;1;2803;0;Bourrignon;2587495.902;1248166.186;fr
970068;0;JU;6703;Bourrignon;Droit Mont;2;2803;0;Bourrignon;2585707.506;1249052.519;fr
970069;0;JU;6703;Bourrignon;Claude Chappuis;1;2803;0;Bourrignon;2586918.127;1247959.383;fr
970070;0;JU;6703;Bourrignon;Champs de Courcelles;5;2803;0;Bourrignon;2585325.558;1249837.498;fr
970071;0;JU;6703;Bourrignon;Champs de Courcelles;7;2803;0;Bourrignon;2585328.13;1249857.723;fr
970072;0;JU;6703;Bourrignon;Route Principale;17;2803;0;Bourrignon;2585392.633;1249423.748;fr
970073;0;JU;6704;Châtillon (JU);Le Bambois;6;2843;0;Châtillon JU;2592686.635;1241533.161;fr
970074;0;JU;6704;Châtillon (JU);Haut du Village;5;2843;0;Châtillon JU;2592750.846;1241610.386;fr
970075;0;JU;6704;Châtillon (JU);Haut du Village;3;2843;0;Châtillon JU;2592753.475;1241636.42;fr
970076;0;JU;6704;Châtillon (JU);La Vie-aux-Chars;1;2843;0;Châtillon JU;2592768.269;1241682.109;fr
970077;0;JU;6704;Châtillon (JU);La Vie-aux-Chars;3;2843;0;Châtillon JU;2592818.222;1241724.765;fr
970078;0;JU;6704;Châtillon (JU);Rue Principale;21;2843;0;Châtillon JU;2592762.219;1241773.341;fr
970079;0;JU;6704;Châtillon (JU);Le Cornat;4;2843;0;Châtillon JU;2592686.955;1241814.579;fr
970080;0;JU;6704;Châtillon (JU);Le Cornat;2;2843;0;Châtillon JU;2592708.13;1241824.644;fr
970081;0;JU;6704;Châtillon (JU);La Chenale;19;2843;0;Châtillon JU;2593014.715;1241901.386;fr
970082;0;JU;6704;Châtillon (JU);La Chenale;17;2843;0;Châtillon JU;2592975.017;1241888.385;fr
970083;0;JU;6704;Châtillon (JU);La Cornand;1;2843;0;Châtillon JU;2592667.521;1241881.579;fr
970084;0;JU;6704;Châtillon (JU);Rue Principale;9;2843;0;Châtillon JU;2592788.625;1241963.539;fr
970085;0;JU;6704;Châtillon (JU);Rue Principale;2;2843;0;Châtillon JU;2592780.319;1242016.397;fr
970086;0;JU;6704;Châtillon (JU);Dos les Clos;2;2843;0;Châtillon JU;2592973.359;1242116.093;fr
970087;0;JU;6704;Châtillon (JU);Route de Courrendlin;10;2843;0;Châtillon JU;2592910.927;1242075.832;fr
970088;0;JU;6704;Châtillon (JU);Les Places;2;2843;0;Châtillon JU;2593038.281;1242162.876;fr
970089;0;JU;6704;Châtillon (JU);Les Places;1;2843;0;Châtillon JU;2593007.53;1242154.588;fr
970090;0;JU;6704;Châtillon (JU);Les Places;3;2843;0;Châtillon JU;2592998.978;1242209.76;fr
970091;0;JU;6704;Châtillon (JU);Les Places;5;2843;0;Châtillon JU;2592997.159;1242236.427;fr
970092;0;JU;6704;Châtillon (JU);Haut des Prés;1;2843;0;Châtillon JU;2592807.265;1242111.987;fr
970093;0;JU;6704;Châtillon (JU);Haut des Prés;3;2843;0;Châtillon JU;2592808.42;1242118.866;fr
970094;0;JU;6704;Châtillon (JU);Route de Courtételle;7;2843;0;Châtillon JU;2592755.854;1242209.417;fr
970095;0;JU;6704;Châtillon (JU);Derrière les Neufs Prés;1;2843;0;Châtillon JU;2592213.176;1242010.541;fr
970096;0;JU;6704;Châtillon (JU);Le Peut Cras;1;2843;0;Châtillon JU;2592395.555;1242908.949;fr
970097;0;JU;6704;Châtillon (JU);La Tuillière;6;2843;0;Châtillon JU;2592697.652;1242204.459;fr
970100;0;JU;6704;Châtillon (JU);Les Grands Clos;2;2843;0;Châtillon JU;2592900.371;1241970.479;fr
970101;0;JU;6704;Châtillon (JU);La Montagne;2;2843;0;Châtillon JU;2593208.999;1240304.441;fr
970102;0;JU;6704;Châtillon (JU);Haut du Village;4;2843;0;Châtillon JU;2592727.001;1241540.521;fr
970103;0;JU;6704;Châtillon (JU);Haut du Village;6;2843;0;Châtillon JU;2592744.47;1241538.104;fr
970104;0;JU;6704;Châtillon (JU);Haut du Village;7;2843;0;Châtillon JU;2592763.638;1241560.478;fr
970105;0;JU;6704;Châtillon (JU);Haut du Village;1;2843;0;Châtillon JU;2592760;1241664;fr
970106;0;JU;6704;Châtillon (JU);La Vie-aux-Chars;5;2843;0;Châtillon JU;2592874.752;1241728.365;fr
970107;0;JU;6704;Châtillon (JU);Le Cornat;3;2843;0;Châtillon JU;2592701.242;1241785.08;fr
970108;0;JU;6704;Châtillon (JU);Rue Principale;14;2843;0;Châtillon JU;2592725.526;1241830.406;fr
970109;0;JU;6704;Châtillon (JU);La Chenale;5;2843;0;Châtillon JU;2592865.297;1241851.906;fr
970110;0;JU;6704;Châtillon (JU);La Chenale;6;2843;0;Châtillon JU;2592868.884;1241831.002;fr
970111;0;JU;6704;Châtillon (JU);Rue Principale;10;2843;0;Châtillon JU;2592730.294;1241877.91;fr
970112;0;JU;6704;Châtillon (JU);Rue Principale;6;2843;0;Châtillon JU;2592753.536;1241931.476;fr
970113;0;JU;6704;Châtillon (JU);Rue Principale;15;2843;0;Châtillon JU;2592790.492;1241921.883;fr
970114;0;JU;6704;Châtillon (JU);Rue Principale;11;2843;0;Châtillon JU;2592781.221;1241941.005;fr
970115;0;JU;6704;Châtillon (JU);Route de Courrendlin;3;2843;0;Châtillon JU;2592841.103;1242069.695;fr
970116;0;JU;6704;Châtillon (JU);Route de Courrendlin;9;2843;0;Châtillon JU;2592928.391;1242115.158;fr
970117;0;JU;6704;Châtillon (JU);Les Oeuchattes;10;2843;0;Châtillon JU;2592951.752;1241954.739;fr
970118;0;JU;6704;Châtillon (JU);Les Places;4;2843;0;Châtillon JU;2593032.073;1242189.136;fr
970119;0;JU;6704;Châtillon (JU);Les Places;6;2843;0;Châtillon JU;2593034.166;1242215.465;fr
970120;0;JU;6704;Châtillon (JU);Les Places;8;2843;0;Châtillon JU;2593026.792;1242237.034;fr
970121;0;JU;6704;Châtillon (JU);Route de Courrendlin;15;2843;0;Châtillon JU;2592949.889;1242230.125;fr
970122;0;JU;6704;Châtillon (JU);Haut des Prés;16;2843;0;Châtillon JU;2592859.7;1242243.927;fr
970123;0;JU;6704;Châtillon (JU);Haut des Prés;18;2843;0;Châtillon JU;2592883.3;1242245.806;fr
970124;0;JU;6704;Châtillon (JU);Haut des Prés;20;2843;0;Châtillon JU;2592909.162;1242248.86;fr
970125;0;JU;6704;Châtillon (JU);Haut des Prés;22;2843;0;Châtillon JU;2592927.575;1242226.953;fr
970126;0;JU;6704;Châtillon (JU);La Tuillière;4;2843;0;Châtillon JU;2592709.756;1242178.191;fr
970127;0;JU;6704;Châtillon (JU);Les Corbions;1;2843;0;Châtillon JU;2593390.478;1241918.159;fr
970128;0;JU;6704;Châtillon (JU);La Tuillière;2;2843;0;Châtillon JU;2592730.036;1242168.663;fr
970129;0;JU;6704;Châtillon (JU);Route de Courtételle;5;2843;0;Châtillon JU;2592769.079;1242181.802;fr
970130;0;JU;6704;Châtillon (JU);La Chenale;1;2843;0;Châtillon JU;2592760.891;1241854.925;fr
970131;0;JU;6704;Châtillon (JU);Le Cornat;6;2843;0;Châtillon JU;2592682.436;1241792.148;fr
970132;0;JU;6704;Châtillon (JU);Haut des Prés;9;2843;0;Châtillon JU;2592838.332;1242233.29;fr
970133;0;JU;6704;Châtillon (JU);Haut des Prés;14;2843;0;Châtillon JU;2592859.164;1242203.064;fr
970134;0;JU;6704;Châtillon (JU);Haut des Prés;5;2843;0;Châtillon JU;2592826.282;1242174.204;fr
970135;0;JU;6704;Châtillon (JU);Haut des Prés;10;2843;0;Châtillon JU;2592850.565;1242149.212;fr
970136;0;JU;6704;Châtillon (JU);Route de Courtételle;2;2843;0;Châtillon JU;2592792.844;1242153.899;fr
970137;0;JU;6704;Châtillon (JU);La Tuillière;3;2843;0;Châtillon JU;2592749.544;1242113.165;fr
970139;0;JU;6704;Châtillon (JU);Route de Courrendlin;11;2843;0;Châtillon JU;2592940.485;1242149.77;fr
970140;0;JU;6704;Châtillon (JU);Les Oeuchattes;4;2843;0;Châtillon JU;2592940.6;1242062.001;fr
970141;0;JU;6704;Châtillon (JU);Route de Courrendlin;7;2843;0;Châtillon JU;2592903.736;1242107.832;fr
970142;0;JU;6704;Châtillon (JU);Route de Courrendlin;2;2843;0;Châtillon JU;2592841.804;1242038.788;fr
970143;0;JU;6704;Châtillon (JU);Route de Courtételle;1;2843;0;Châtillon JU;2592785.341;1242047.172;fr
970144;0;JU;6704;Châtillon (JU);Rue Principale;1;2843;0;Châtillon JU;2592807.75;1242011.645;fr
970145;0;JU;6704;Châtillon (JU);Rue Principale;4;2843;0;Châtillon JU;2592772.722;1241960.899;fr
970146;0;JU;6704;Châtillon (JU);Rue Principale;3;2843;0;Châtillon JU;2592849.209;1241987.94;fr
970147;0;JU;6704;Châtillon (JU);Rue Principale;8a;2843;0;Châtillon JU;2592707;1241923;fr
970148;0;JU;6704;Châtillon (JU);La Cornand;2;2843;0;Châtillon JU;2592668.782;1241907.865;fr
970150;0;JU;6704;Châtillon (JU);La Chenale;9;2843;0;Châtillon JU;2592904.018;1241863.753;fr
970151;0;JU;6704;Châtillon (JU);La Chenale;10a;2843;0;Châtillon JU;2593000;1241858;fr
970152;0;JU;6704;Châtillon (JU);Rue Principale;19;2843;0;Châtillon JU;2592739.702;1241821.257;fr
970153;0;JU;6704;Châtillon (JU);Le Cornat;1;2843;0;Châtillon JU;2592719.062;1241790.22;fr
970154;0;JU;6704;Châtillon (JU);Rue Principale;16;2843;0;Châtillon JU;2592724.005;1241748.945;fr
970155;0;JU;6704;Châtillon (JU);Rue Principale;23;2843;0;Châtillon JU;2592747.432;1241742.086;fr
970156;0;JU;6704;Châtillon (JU);Rue Principale;25;2843;0;Châtillon JU;2592761.354;1241708.259;fr
970157;0;JU;6704;Châtillon (JU);Rue Principale;20;2843;0;Châtillon JU;2592733.847;1241710.217;fr
970158;0;JU;6704;Châtillon (JU);Rue Principale;22;2843;0;Châtillon JU;2592744.158;1241686.628;fr
970159;0;JU;6704;Châtillon (JU);Le Bambois;4;2843;0;Châtillon JU;2592718.092;1241560.685;fr
970160;0;JU;6704;Châtillon (JU);La Claverie;1;2843;0;Châtillon JU;2593585.05;1242366.685;fr
970161;0;JU;6730;Val Terbi;Route Principale;16;2826;0;Corban;2602910.352;1243933.242;fr
970163;0;JU;6730;Val Terbi;Route Principale;8;2826;0;Corban;2602787.322;1243943.062;fr
970164;0;JU;6730;Val Terbi;Le Petit Chenal;1;2826;0;Corban;2602275.201;1244722.181;fr
970165;0;JU;6730;Val Terbi;Route Principale;9;2826;0;Corban;2602759.635;1243996.457;fr
970166;0;JU;6730;Val Terbi;La Cure;1;2826;0;Corban;2602766.059;1244061.75;fr
970168;0;JU;6730;Val Terbi;Sous Plain Fayen;4;2826;0;Corban;2602361.126;1243354.089;fr
970169;0;JU;6730;Val Terbi;Morbez;21;2826;0;Corban;2603437.61;1243953.116;fr
970170;0;JU;6730;Val Terbi;Rue de l'Eglise;3;2826;0;Corban;2602951.396;1243895.773;fr
970171;0;JU;6730;Val Terbi;Le Piamont;33;2826;0;Corban;2603715.176;1244804.124;fr
970172;0;JU;6730;Val Terbi;Dos Commenray;19;2826;0;Corban;2602519.423;1244894.65;fr
