EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1460001;0;NE;6416;Milvignes;Place des Epancheurs;6;2012;0;Auvernier;2557228.357;1202794.661;fr
1460002;0;NE;6416;Milvignes;Place des Epancheurs;12;2012;0;Auvernier;2557267.898;1202736.106;fr
1460003;0;NE;6416;Milvignes;Place des Epancheurs;14;2012;0;Auvernier;2557273.933;1202728.032;fr
1460004;0;NE;6416;Milvignes;Rue de la Bâla;1;2012;0;Auvernier;2557281.711;1202718.771;fr
1460005;0;NE;6416;Milvignes;Rue de la Bâla;2;2012;0;Auvernier;2557263.73;1202723.832;fr
1460006;0;NE;6416;Milvignes;Rue de la Bâla;3;2012;0;Auvernier;2557269.456;1202714.646;fr
1460007;0;NE;6416;Milvignes;Rue de la Bâla;4;2012;0;Auvernier;2557258.923;1202718.672;fr
1460008;0;NE;6416;Milvignes;Rue de la Bâla;5;2012;0;Auvernier;2557261.326;1202710.991;fr
1460009;0;NE;6416;Milvignes;Rue de la Bâla;6;2012;0;Auvernier;2557247.038;1202714.245;fr
1460010;0;NE;6416;Milvignes;Rue de la Bâla;7;2012;0;Auvernier;2557258.447;1202709.695;fr
1460011;0;NE;6416;Milvignes;Rue de la Bâla;8;2012;0;Auvernier;2557242.146;1202713.805;fr
1460012;0;NE;6416;Milvignes;Rue de la Bâla;9;2012;0;Auvernier;2557252.579;1202707.351;fr
1460013;0;NE;6416;Milvignes;Rue de la Bâla;10;2012;0;Auvernier;2557224.157;1202712.618;fr
1460014;0;NE;6416;Milvignes;Rue de la Bâla;11;2012;0;Auvernier;2557249.652;1202706.267;fr
1460015;0;NE;6416;Milvignes;Rue de la Bâla;12;2012;0;Auvernier;2557216.593;1202706.004;fr
1460016;0;NE;6416;Milvignes;Rue de la Bâla;14;2012;0;Auvernier;2557207.907;1202704.457;fr
1460017;0;NE;6416;Milvignes;Rue de la Bâla;16;2012;0;Auvernier;2557202.965;1202704.692;fr
1460018;0;NE;6416;Milvignes;Rue de la Bâla;18;2012;0;Auvernier;2557199.895;1202703.812;fr
1460019;0;NE;6416;Milvignes;Rue de la Bâla;19;2012;0;Auvernier;2557198.593;1202668.852;fr
1460020;0;NE;6416;Milvignes;Rue de la Bâla;20;2012;0;Auvernier;2557195.004;1202702.249;fr
1460021;0;NE;6416;Milvignes;Rue de la Bâla;21;2012;0;Auvernier;2557185.419;1202676.691;fr
1460022;0;NE;6416;Milvignes;Rue de la Bâla;26;2012;0;Auvernier;2557166.248;1202683.861;fr
1460023;0;NE;6416;Milvignes;Route des Graviers;5;2012;0;Auvernier;2557121.544;1202647.084;fr
1460024;0;NE;6416;Milvignes;Route des Graviers;7;2012;0;Auvernier;2557101.097;1202642.209;fr
1460025;0;NE;6416;Milvignes;Route des Graviers;9;2012;0;Auvernier;2557079.594;1202632.715;fr
1460026;0;NE;6416;Milvignes;Route des Graviers;11;2012;0;Auvernier;2557075.18;1202617.888;fr
1460027;0;NE;6416;Milvignes;Route des Graviers;17;2012;0;Auvernier;2557024.168;1202610.252;fr
1460028;0;NE;6416;Milvignes;Route des Graviers;21;2012;0;Auvernier;2556982.711;1202569.356;fr
1460029;0;NE;6416;Milvignes;Route des Graviers;23;2012;0;Auvernier;2556942.623;1202563.668;fr
1460030;0;NE;6416;Milvignes;Route des Graviers;25;2012;0;Auvernier;2556932.667;1202546.601;fr
1460031;0;NE;6416;Milvignes;Route des Graviers;26;2012;0;Auvernier;2556980.816;1202650.48;fr
1460032;0;NE;6416;Milvignes;Route des Graviers;28;2012;0;Auvernier;2556952.925;1202624.247;fr
1460033;0;NE;6416;Milvignes;Route des Graviers;30;2012;0;Auvernier;2556925.501;1202598.661;fr
1460034;0;NE;6416;Milvignes;Rue des Epancheurs;2;2012;0;Auvernier;2557373.47;1202908.939;fr
1460035;0;NE;6416;Milvignes;Rue des Epancheurs;3;2012;0;Auvernier;2557349.317;1202832.83;fr
1460036;0;NE;6416;Milvignes;Rue des Epancheurs;5;2012;0;Auvernier;2557340.242;1202832.604;fr
1460037;0;NE;6416;Milvignes;Rue des Epancheurs;7;2012;0;Auvernier;2557336.034;1202827.924;fr
1460038;0;NE;6416;Milvignes;Rue des Epancheurs;9;2012;0;Auvernier;2557333.131;1202824.621;fr
1460039;0;NE;6416;Milvignes;Rue des Epancheurs;11;2012;0;Auvernier;2557327.738;1202818.077;fr
1460040;0;NE;6416;Milvignes;Rue des Epancheurs;13;2012;0;Auvernier;2557321.775;1202810.931;fr
1460041;0;NE;6416;Milvignes;Rue des Epancheurs;15;2012;0;Auvernier;2557319.275;1202807.833;fr
1460042;0;NE;6416;Milvignes;Rue des Epancheurs;8;2012;0;Auvernier;2557361.884;1202902.387;fr
1460043;0;NE;6416;Milvignes;Rue des Epancheurs;10;2012;0;Auvernier;2557363.112;1202886.327;fr
1460044;0;NE;6416;Milvignes;Rue des Epancheurs;12;2012;0;Auvernier;2557355.051;1202877.012;fr
1460045;0;NE;6416;Milvignes;Rue des Epancheurs;14;2012;0;Auvernier;2557345.396;1202900.372;fr
1460046;0;NE;6416;Milvignes;Rue des Epancheurs;16;2012;0;Auvernier;2557327.351;1202904.487;fr
1460047;0;NE;6416;Milvignes;Rue des Epancheurs;18;2012;0;Auvernier;2557325.108;1202917.752;fr
1460048;0;NE;6416;Milvignes;Rue des Epancheurs;20;2012;0;Auvernier;2557352.865;1202872.507;fr
1460049;0;NE;6416;Milvignes;Rue des Epancheurs;22;2012;0;Auvernier;2557343.864;1202865.792;fr
1460050;0;NE;6416;Milvignes;Rue des Epancheurs;24;2012;0;Auvernier;2557336.487;1202863.821;fr
1460051;0;NE;6416;Milvignes;Rue des Epancheurs;26;2012;0;Auvernier;2557347.751;1202858.472;fr
1460052;0;NE;6416;Milvignes;Rue des Epancheurs;28;2012;0;Auvernier;2557338.282;1202842.935;fr
1460053;0;NE;6416;Milvignes;Rue des Epancheurs;32;2012;0;Auvernier;2557321.086;1202853.354;fr
