EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
280001;0;NW;1501;Beckenried;Buochserstrasse;102;6375;0;Beckenried;2676888.096;1202774.387;de
280002;0;NW;1501;Beckenried;Buochserstrasse;100;6375;0;Beckenried;2676904.799;1202768.297;de
280003;0;NW;1501;Beckenried;Buochserstrasse;98;6375;0;Beckenried;2676940.145;1202763.775;de
280004;0;NW;1501;Beckenried;Buochserstrasse;96;6375;0;Beckenried;2676967.46;1202758.145;de
280006;0;NW;1501;Beckenried;Buochserstrasse;92;6375;0;Beckenried;2677021.364;1202748.98;de
280007;0;NW;1501;Beckenried;Buochserstrasse;90;6375;0;Beckenried;2677061.867;1202744.211;de
280008;0;NW;1501;Beckenried;Buochserstrasse;84;6375;0;Beckenried;2677301.32;1202703.429;de
280009;0;NW;1501;Beckenried;Buochserstrasse;82;6375;0;Beckenried;2677327.734;1202715.922;de
280010;0;NW;1501;Beckenried;Buochserstrasse;80;6375;0;Beckenried;2677354.686;1202718.898;de
280011;0;NW;1501;Beckenried;Buochserstrasse;78;6375;0;Beckenried;2677381.865;1202726.309;de
280012;0;NW;1501;Beckenried;Buochserstrasse;76;6375;0;Beckenried;2677398.175;1202733.511;de
280013;0;NW;1501;Beckenried;Buochserstrasse;72;6375;0;Beckenried;2677436.414;1202754.95;de
280015;0;NW;1501;Beckenried;Buochserstrasse;68;6375;0;Beckenried;2677499.416;1202744.274;de
280016;0;NW;1501;Beckenried;Buochserstrasse;71;6375;0;Beckenried;2677520.547;1202674.151;de
280017;0;NW;1501;Beckenried;Buochserstrasse;66;6375;0;Beckenried;2677521.145;1202760.711;de
280018;0;NW;1501;Beckenried;Buochserstrasse;65;6375;0;Beckenried;2677537.839;1202720.604;de
280019;0;NW;1501;Beckenried;Buochserstrasse;67;6375;0;Beckenried;2677541.991;1202700.72;de
280021;0;NW;1501;Beckenried;Buochserstrasse;62;6375;0;Beckenried;2677568.632;1202771.138;de
280022;0;NW;1501;Beckenried;Buochserstrasse;58;6375;0;Beckenried;2677613.958;1202795.641;de
280024;0;NW;1501;Beckenried;Buochserstrasse;54;6375;0;Beckenried;2677649.843;1202762.888;de
280025;0;NW;1501;Beckenried;Buochserstrasse;47;6375;0;Beckenried;2677691.735;1202735.098;de
280026;0;NW;1501;Beckenried;Buochserstrasse;43;6375;0;Beckenried;2677733.404;1202732.751;de
