EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
270001;0;OW;1401;Alpnach;Rengg;4;6053;0;Alpnachstad;2664884.575;1202408.636;de
270002;0;OW;1401;Alpnach;Rengg;3;6053;0;Alpnachstad;2664963.589;1202363.336;de
270003;0;OW;1401;Alpnach;Rengg;2;6053;0;Alpnachstad;2664995.954;1202376.572;de
270004;0;OW;1401;Alpnach;Rengg;5;6053;0;Alpnachstad;2665179.112;1202611.897;de
270005;0;OW;1401;Alpnach;Rengg;6;6053;0;Alpnachstad;2665107.693;1202553.523;de
270006;0;OW;1401;Alpnach;Rengg;7;6053;0;Alpnachstad;2665332.772;1202780.937;de
270007;0;OW;1401;Alpnach;Rengg;9;6053;0;Alpnachstad;2665326.012;1202507.355;de
270008;0;OW;1401;Alpnach;Rengg;8;6053;0;Alpnachstad;2665521.588;1202779.344;de
270009;0;OW;1401;Alpnach;Rengg;1;6053;0;Alpnachstad;2665199.694;1202424.065;de
270012;0;OW;1401;Alpnach;Niederstad;32;6053;0;Alpnachstad;2664848.553;1201871.249;de
270013;0;OW;1401;Alpnach;Niederstad;30;6053;0;Alpnachstad;2664880.506;1201860.479;de
270014;0;OW;1401;Alpnach;Niederstad;24;6053;0;Alpnachstad;2664631.206;1201631.348;de
270015;0;OW;1401;Alpnach;Niederstad;26;6053;0;Alpnachstad;2664599.828;1201561.134;de
270016;0;OW;1401;Alpnach;Niederstad;28;6053;0;Alpnachstad;2664553.049;1201521.229;de
270017;0;OW;1401;Alpnach;Lieren;1;6053;0;Alpnachstad;2664287.402;1201345.103;de
270018;0;OW;1401;Alpnach;Rieden;1;6053;0;Alpnachstad;2664363.175;1201401.625;de
270019;0;OW;1401;Alpnach;Grossrüti;1;6053;0;Alpnachstad;2664028.798;1201465.079;de
270020;0;OW;1401;Alpnach;Alprüti;1;6053;0;Alpnachstad;2664513.871;1201962.619;de
270022;0;OW;1401;Alpnach;Niederstad;16;6053;0;Alpnachstad;2664963.04;1201743.046;de
270023;0;OW;1401;Alpnach;Dellacher;21;6053;0;Alpnachstad;2664981.405;1201779.746;de
270024;0;OW;1401;Alpnach;Niederstad;14;6053;0;Alpnachstad;2665000.697;1201755.552;de
270025;0;OW;1401;Alpnach;Im Widi;1;6053;0;Alpnachstad;2665054;1201774;de
270026;0;OW;1401;Alpnach;Im Widi;2;6053;0;Alpnachstad;2665059;1201778;de
270027;0;OW;1401;Alpnach;Im Widi;3;6053;0;Alpnachstad;2665062;1201783;de
270028;0;OW;1401;Alpnach;Im Widi;4;6053;0;Alpnachstad;2665065;1201790;de
270029;0;OW;1401;Alpnach;Im Widi;5;6053;0;Alpnachstad;2665058;1201806;de
270030;0;OW;1401;Alpnach;Im Widi;6;6053;0;Alpnachstad;2665064;1201808;de
270031;0;OW;1401;Alpnach;Im Widi;7;6053;0;Alpnachstad;2665069;1201800;de
270032;0;OW;1401;Alpnach;Niederstad;10;6053;0;Alpnachstad;2665061.002;1201828.704;de
270033;0;OW;1401;Alpnach;Niederstad;6;6053;0;Alpnachstad;2664997.801;1201896.458;de
270035;0;OW;1401;Alpnach;Niederstad;3;6053;0;Alpnachstad;2665103.781;1201778.145;de
270036;0;OW;1401;Alpnach;Niederstad;5;6053;0;Alpnachstad;2665080.23;1201751.03;de
270037;0;OW;1401;Alpnach;Niederstad;7;6053;0;Alpnachstad;2665036.477;1201721.695;de
270038;0;OW;1401;Alpnach;Niederstad;9;6053;0;Alpnachstad;2664967.342;1201699.394;de
270039;0;OW;1401;Alpnach;Niederstad;11;6053;0;Alpnachstad;2664945.242;1201692.878;de
270040;0;OW;1401;Alpnach;Niederstad;13;6053;0;Alpnachstad;2664892.074;1201677.218;de
270041;0;OW;1401;Alpnach;Niederstad;17;6053;0;Alpnachstad;2664737.358;1201533.48;de
270042;0;OW;1401;Alpnach;Niederstad;25;6053;0;Alpnachstad;2664711.306;1201506.299;de
270043;0;OW;1401;Alpnach;Niederstad;33;6053;0;Alpnachstad;2664683.751;1201484.066;de
270044;0;OW;1401;Alpnach;Niederstad;41;6053;0;Alpnachstad;2664651.646;1201464.752;de
270045;0;OW;1401;Alpnach;Niederstad;43;6053;0;Alpnachstad;2664619.97;1201446.553;de
270046;0;OW;1401;Alpnach;Niederstad;45;6053;0;Alpnachstad;2664637.739;1201434.793;de
270047;0;OW;1401;Alpnach;Niederstad;47;6053;0;Alpnachstad;2664621.515;1201418.655;de
270048;0;OW;1401;Alpnach;Niederstad;49;6053;0;Alpnachstad;2664595.962;1201406.821;de
270049;0;OW;1401;Alpnach;Niederstad;51;6053;0;Alpnachstad;2664584.039;1201424.216;de
270050;0;OW;1401;Alpnach;Rengg;;6053;0;Alpnachstad;2665429.721;1202768.886;de
270051;0;OW;1401;Alpnach;Niederstad;19;6053;0;Alpnachstad;2664733.826;1201530.522;de
270052;0;OW;1401;Alpnach;Niederstad;27;6053;0;Alpnachstad;2664707.357;1201502.865;de
270053;0;OW;1401;Alpnach;Niederstad;35;6053;0;Alpnachstad;2664678.515;1201481.062;de
270054;0;OW;1401;Alpnach;Niederstad;21;6053;0;Alpnachstad;2664730.161;1201526.637;de
270055;0;OW;1401;Alpnach;Niederstad;29;6053;0;Alpnachstad;2664703.237;1201499.946;de
270056;0;OW;1401;Alpnach;Niederstad;37;6053;0;Alpnachstad;2664673.107;1201477.542;de
270057;0;OW;1401;Alpnach;Niederstad;23;6053;0;Alpnachstad;2664726.938;1201522.839;de
270058;0;OW;1401;Alpnach;Niederstad;31;6053;0;Alpnachstad;2664699.889;1201497.114;de
270059;0;OW;1401;Alpnach;Niederstad;39;6053;0;Alpnachstad;2664667.097;1201475.31;de
270060;0;OW;1401;Alpnach;Brünigstrasse;9;6053;0;Alpnachstad;2663765.799;1200690.463;de
270061;0;OW;1401;Alpnach;Brünigstrasse;11;6053;0;Alpnachstad;2663767.693;1200661.866;de
270062;0;OW;1401;Alpnach;Brünigstrasse;5;6053;0;Alpnachstad;2663773.87;1200707.542;de
270063;0;OW;1401;Alpnach;Brünigstrasse;15;6053;0;Alpnachstad;2663761.903;1200574.166;de
270064;0;OW;1401;Alpnach;Brünigstrasse;17;6053;0;Alpnachstad;2663745.934;1200544.133;de
270065;0;OW;1401;Alpnach;Brünigstrasse;32;6053;0;Alpnachstad;2663706.781;1200523.292;de
270066;0;OW;1401;Alpnach;Chälengasse;2;6053;0;Alpnachstad;2663718.516;1200608.271;de
270067;0;OW;1401;Alpnach;Chälengasse;3;6053;0;Alpnachstad;2663667.271;1200548.902;de
270068;0;OW;1401;Alpnach;Chälengasse;1c;6053;0;Alpnachstad;2663687;1200552;de
270069;0;OW;1401;Alpnach;Chälengasse;12;6053;0;Alpnachstad;2663639.269;1200561.197;de
270070;0;OW;1401;Alpnach;Chälengasse;10;6053;0;Alpnachstad;2663635.987;1200583.859;de
270071;0;OW;1401;Alpnach;Chälengasse;6;6053;0;Alpnachstad;2663682.119;1200600.165;de
270072;0;OW;1401;Alpnach;Chälengasse;8a;6053;0;Alpnachstad;2663670.669;1200617.735;de
270073;0;OW;1401;Alpnach;Brünigstrasse;26;6053;0;Alpnachstad;2663736.877;1200588.785;de
270074;0;OW;1401;Alpnach;Brünigstrasse;24;6053;0;Alpnachstad;2663729.263;1200628.195;de
270075;0;OW;1401;Alpnach;Pilatusweg;1;6053;0;Alpnachstad;2663717.267;1200634.206;de
270076;0;OW;1401;Alpnach;Pilatusweg;3;6053;0;Alpnachstad;2663690.289;1200649.913;de
