EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
470001;0;SH;2901;Gächlingen;Chapfstrasse;5;8214;0;Gächlingen;2679710.978;1284583.342;de
470002;0;SH;2901;Gächlingen;Chapfstrasse;4;8214;0;Gächlingen;2679762.066;1284599.606;de
470003;0;SH;2901;Gächlingen;Chapfstrasse;8;8214;0;Gächlingen;2679720.88;1284616.276;de
470004;0;SH;2901;Gächlingen;Chapfstrasse;10;8214;0;Gächlingen;2679704.952;1284631.118;de
470005;0;SH;2901;Gächlingen;Chapfstrasse;12;8214;0;Gächlingen;2679669.065;1284625.453;de
470006;0;SH;2901;Gächlingen;Chapfstrasse;11;8214;0;Gächlingen;2679646.576;1284603.725;de
470007;0;SH;2901;Gächlingen;Im Chapf;13;8214;0;Gächlingen;2679674.146;1284669.451;de
470008;0;SH;2901;Gächlingen;Im Chapf;11;8214;0;Gächlingen;2679706.664;1284652.818;de
470009;0;SH;2901;Gächlingen;Im Chapf;9;8214;0;Gächlingen;2679730.603;1284652.849;de
470010;0;SH;2901;Gächlingen;Im Chapf;7;8214;0;Gächlingen;2679744.05;1284649.26;de
470011;0;SH;2901;Gächlingen;Im Chapf;5;8214;0;Gächlingen;2679758.055;1284645.354;de
470012;0;SH;2901;Gächlingen;Im Chapf;3;8214;0;Gächlingen;2679771.867;1284641.363;de
470013;0;SH;2901;Gächlingen;Im Chapf;1;8214;0;Gächlingen;2679800.926;1284630.736;de
470014;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;2;8214;0;Gächlingen;2679879.47;1284518.146;de
470015;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;4;8214;0;Gächlingen;2679882.967;1284559.422;de
470016;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;6;8214;0;Gächlingen;2679901.639;1284536.474;de
470017;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;10;8214;0;Gächlingen;2679925.962;1284559.318;de
470018;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;12;8214;0;Gächlingen;2679939.57;1284543.624;de
470019;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;18;8214;0;Gächlingen;2679947.895;1284607.168;de
470020;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;20;8214;0;Gächlingen;2679963.564;1284606.239;de
470021;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;26;8214;0;Gächlingen;2680018.026;1284650.916;de
470022;0;SH;2901;Gächlingen;Obere Hanenbüelstrasse;28;8214;0;Gächlingen;2680037.613;1284666.656;de
470023;0;SH;2901;Gächlingen;Hanenbüelstrasse;21;8214;0;Gächlingen;2680042.671;1284618.159;de
