EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
240001;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;1;8836;0;Bennau;2696949.779;1223048.298;de
240002;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;2;8836;0;Bennau;2696940.652;1223033.914;de
240003;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;4;8836;0;Bennau;2696942.202;1223033.15;de
240004;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;6;8836;0;Bennau;2696955.806;1223025.592;de
240006;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;10;8836;0;Bennau;2696973.394;1223016.155;de
240007;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;12;8836;0;Bennau;2696976.013;1223014.824;de
240008;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;16;8836;0;Bennau;2697024.754;1222994.165;de
240009;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;3;8836;0;Bennau;2697075.252;1222966.318;de
240010;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;20;8836;0;Bennau;2697076.878;1222938.356;de
240011;0;SZ;1301;Einsiedeln;Schwyzerbruggstrasse;24;8836;0;Bennau;2697118.005;1222911.031;de
240012;0;SZ;1301;Einsiedeln;Amselweg;1;8836;0;Bennau;2697041.861;1222935.449;de
240013;0;SZ;1301;Einsiedeln;Amselweg;2;8836;0;Bennau;2697026.394;1222973.603;de
240014;0;SZ;1301;Einsiedeln;Amselweg;4;8836;0;Bennau;2697018.768;1222944.802;de
240016;0;SZ;1301;Einsiedeln;Amselweg;7;8836;0;Bennau;2696998.302;1222877.771;de
240017;0;SZ;1301;Einsiedeln;Amselweg;5;8836;0;Bennau;2697014.632;1222892.927;de
240018;0;SZ;1301;Einsiedeln;Amselweg;6;8836;0;Bennau;2696967.542;1222900.065;de
240019;0;SZ;1301;Einsiedeln;Amselweg;8;8836;0;Bennau;2696969.734;1222898.848;de
240020;0;SZ;1301;Einsiedeln;Amselweg;10;8836;0;Bennau;2696942.256;1222873.35;de
240021;0;SZ;1301;Einsiedeln;Amselweg;17;8836;0;Bennau;2696918.945;1222808.02;de
240022;0;SZ;1301;Einsiedeln;Amselweg;23;8836;0;Bennau;2696878.769;1222789.759;de
240023;0;SZ;1301;Einsiedeln;Amselweg;3;8836;0;Bennau;2697023.545;1222906.165;de
240024;0;SZ;1301;Einsiedeln;Birkenweg;1;8836;0;Bennau;2696989.031;1222922.099;de
240025;0;SZ;1301;Einsiedeln;Birkenweg;3;8836;0;Bennau;2696986.487;1222923.436;de
240027;0;SZ;1301;Einsiedeln;Birkenweg;4;8836;0;Bennau;2696972.745;1222968.814;de
240028;0;SZ;1301;Einsiedeln;Birkenweg;5;8836;0;Bennau;2696968.531;1222935.776;de
240029;0;SZ;1301;Einsiedeln;Birkenweg;6;8836;0;Bennau;2696954.069;1222969.827;de
240030;0;SZ;1301;Einsiedeln;Birkenweg;7;8836;0;Bennau;2696940.143;1222951.944;de
