EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
230001;0;UR;1202;Andermatt;Bäzweg;5;6490;0;Andermatt;2688356.052;1165376.95;de
230002;0;UR;1202;Andermatt;Bäzweg;7;6490;0;Andermatt;2688368.267;1165403.934;de
230003;0;UR;1202;Andermatt;Bäzweg;9;6490;0;Andermatt;2688357.817;1165406.301;de
230004;0;UR;1202;Andermatt;Bäzweg;11;6490;0;Andermatt;2688332.121;1165420.287;de
230005;0;UR;1202;Andermatt;Bäzweg;13;6490;0;Andermatt;2688302.668;1165441.29;de
230006;0;UR;1202;Andermatt;Bäzweg;15;6490;0;Andermatt;2688273.674;1165459.962;de
230007;0;UR;1202;Andermatt;Bodenstrasse;20;6490;0;Andermatt;2688196.649;1165478.048;de
230008;0;UR;1202;Andermatt;Bodenstrasse;22;6490;0;Andermatt;2688169.256;1165490.057;de
230009;0;UR;1202;Andermatt;Bodenstrasse;9;6490;0;Andermatt;2688219.225;1165468.072;de
230010;0;UR;1202;Andermatt;Bodenstrasse;11;6490;0;Andermatt;2688201.084;1165451.64;de
230011;0;UR;1202;Andermatt;Bodenstrasse;24;6490;0;Andermatt;2688171.574;1165439.284;de
230012;0;UR;1202;Andermatt;Bodenstrasse;13;6490;0;Andermatt;2688191.618;1165433.838;de
230013;0;UR;1202;Andermatt;Bodenstrasse;15;6490;0;Andermatt;2688186.657;1165420.552;de
230014;0;UR;1202;Andermatt;Bodenstrasse;15a;6490;0;Andermatt;2688188;1165416;de
230016;0;UR;1202;Andermatt;Bodenstrasse;26;6490;0;Andermatt;2688144.67;1165444.081;de
230017;0;UR;1202;Andermatt;Bodenstrasse;28;6490;0;Andermatt;2688125.924;1165396.973;de
230018;0;UR;1202;Andermatt;Bodenstrasse;28a;6490;0;Andermatt;2688120.898;1165388.638;de
230019;0;UR;1202;Andermatt;Bodenstrasse;30;6490;0;Andermatt;2688119.807;1165353.713;de
230020;0;UR;1202;Andermatt;Bodenstrasse;32;6490;0;Andermatt;2688113.648;1165311.387;de
230021;0;UR;1202;Andermatt;Bodenstrasse;19;6490;0;Andermatt;2688142.06;1165375.409;de
230022;0;UR;1202;Andermatt;Bodenstrasse;21;6490;0;Andermatt;2688163.018;1165363.409;de
230023;0;UR;1202;Andermatt;Bodenstrasse;23;6490;0;Andermatt;2688179.388;1165351.371;de
230024;0;UR;1202;Andermatt;Bodenstrasse;25;6490;0;Andermatt;2688173.428;1165333.13;de
230025;0;UR;1202;Andermatt;Bodenstrasse;25a;6490;0;Andermatt;2688178.037;1165330.429;de
230026;0;UR;1202;Andermatt;Bodenstrasse;27;6490;0;Andermatt;2688149.795;1165344.953;de
230027;0;UR;1202;Andermatt;Bodenstrasse;31;6490;0;Andermatt;2688146.908;1165316.889;de
230028;0;UR;1202;Andermatt;Bodenstrasse;31a;6490;0;Andermatt;2688149.706;1165315.483;de
230029;0;UR;1202;Andermatt;Bodenstrasse;33;6490;0;Andermatt;2688166.135;1165309.934;de
230030;0;UR;1202;Andermatt;Bodenstrasse;35;6490;0;Andermatt;2688130.042;1165288.404;de
230031;0;UR;1202;Andermatt;Gemsstockstrasse;1;6490;0;Andermatt;2688318.583;1165400.278;de
230032;0;UR;1202;Andermatt;Gemsstockstrasse;2;6490;0;Andermatt;2688286.98;1165418.006;de
230033;0;UR;1202;Andermatt;Gemsstockstrasse;3;6490;0;Andermatt;2688300.055;1165394.996;de
230034;0;UR;1202;Andermatt;Gemsstockstrasse;4;6490;0;Andermatt;2688265.484;1165393.318;de
230035;0;UR;1202;Andermatt;Gemsstockstrasse;5;6490;0;Andermatt;2688312.687;1165379.202;de
230036;0;UR;1202;Andermatt;Gemsstockstrasse;5a;6490;0;Andermatt;2688317.686;1165374.175;de
230037;0;UR;1202;Andermatt;Gemsstockstrasse;6;6490;0;Andermatt;2688237.231;1165426.095;de
230038;0;UR;1202;Andermatt;Gemsstockstrasse;8;6490;0;Andermatt;2688236.198;1165377.748;de
230039;0;UR;1202;Andermatt;Gemsstockstrasse;10;6490;0;Andermatt;2688217.079;1165410.724;de
230040;0;UR;1202;Andermatt;Gemsstockstrasse;11;6490;0;Andermatt;2688257.805;1165336.057;de
230041;0;UR;1202;Andermatt;Blumenweg;12;6490;0;Andermatt;2688533.497;1165408.7;de
230043;0;UR;1202;Andermatt;Bahnhofstrasse;54;6490;0;Andermatt;2688469.359;1165359.712;de
230044;0;UR;1202;Andermatt;Missionsweg;4;6490;0;Andermatt;2688435.827;1165335.377;de
230045;0;UR;1202;Andermatt;Bahnhofstrasse;52;6490;0;Andermatt;2688441.607;1165349.713;de
230046;0;UR;1202;Andermatt;Bahnhofstrasse;50;6490;0;Andermatt;2688444.61;1165374.485;de
230047;0;UR;1202;Andermatt;Bahnhofstrasse;48;6490;0;Andermatt;2688430.657;1165358.058;de
230048;0;UR;1202;Andermatt;Bahnhofstrasse;46;6490;0;Andermatt;2688404.984;1165366.055;de
230049;0;UR;1202;Andermatt;Bahnhofstrasse;33;6490;0;Andermatt;2688452.34;1165398.142;de
230050;0;UR;1202;Andermatt;Bäzweg;1;6490;0;Andermatt;2688417.693;1165384.219;de
230051;0;UR;1202;Andermatt;Bahnhofstrasse;31;6490;0;Andermatt;2688433.338;1165408.082;de
230052;0;UR;1202;Andermatt;Bäzweg;3;6490;0;Andermatt;2688398.861;1165386.877;de
230053;0;UR;1202;Andermatt;Bahnhofstrasse;44;6490;0;Andermatt;2688419.859;1165406.123;de
230054;0;UR;1202;Andermatt;Bahnhofstrasse;29;6490;0;Andermatt;2688428.7;1165423.828;de
230055;0;UR;1202;Andermatt;Bahnhofstrasse;42;6490;0;Andermatt;2688408.119;1165424.159;de
230056;0;UR;1202;Andermatt;Bahnhofstrasse;23;6490;0;Andermatt;2688417.707;1165452.924;de
230057;0;UR;1202;Andermatt;Bahnhofstrasse;40;6490;0;Andermatt;2688396.832;1165445.285;de
230058;0;UR;1202;Andermatt;Bahnhofstrasse;38;6490;0;Andermatt;2688389.749;1165458.711;de
230059;0;UR;1202;Andermatt;Bahnhofstrasse;36;6490;0;Andermatt;2688381.037;1165475.021;de
230060;0;UR;1202;Andermatt;Bahnhofstrasse;32;6490;0;Andermatt;2688373.01;1165492.349;de
230061;0;UR;1202;Andermatt;Bahnhofstrasse;28;6490;0;Andermatt;2688330.167;1165511.911;de
230062;0;UR;1202;Andermatt;Bahnhofstrasse;24;6490;0;Andermatt;2688311.057;1165507.445;de
230063;0;UR;1202;Andermatt;Bahnhofstrasse;22;6490;0;Andermatt;2688332.088;1165527.522;de
230064;0;UR;1202;Andermatt;Bahnhofstrasse;20;6490;0;Andermatt;2688346.626;1165542.904;de
230065;0;UR;1202;Andermatt;Bahnhofstrasse;18;6490;0;Andermatt;2688337.277;1165561.137;de
230066;0;UR;1202;Andermatt;Bahnhofstrasse;16;6490;0;Andermatt;2688328.616;1165578.837;de
230068;0;UR;1202;Andermatt;Bahnhofstrasse;10;6490;0;Andermatt;2688294.786;1165626.621;de
230069;0;UR;1202;Andermatt;Bahnhofstrasse;12;6490;0;Andermatt;2688266;1165626;de
230070;0;UR;1202;Andermatt;Bodenstrasse;1;6490;0;Andermatt;2688295.21;1165591.535;de
230071;0;UR;1202;Andermatt;Bodenstrasse;2;6490;0;Andermatt;2688282.943;1165612.244;de
230072;0;UR;1202;Andermatt;Bodenstrasse;3;6490;0;Andermatt;2688278.664;1165570.95;de
230073;0;UR;1202;Andermatt;Bodenstrasse;6;6490;0;Andermatt;2688268.468;1165582.016;de
230074;0;UR;1202;Andermatt;Bodenstrasse;4;6490;0;Andermatt;2688249.417;1165605.126;de
230075;0;UR;1202;Andermatt;Bodenstrasse;8;6490;0;Andermatt;2688242.622;1165576.282;de
230076;0;UR;1202;Andermatt;Bodenstrasse;5;6490;0;Andermatt;2688266.17;1165554.489;de
230077;0;UR;1202;Andermatt;Bodenstrasse;10;6490;0;Andermatt;2688225.01;1165548.774;de
230079;0;UR;1202;Andermatt;Bodenstrasse;18;6490;0;Andermatt;2688209.777;1165517.58;de
230080;0;UR;1202;Andermatt;Bäzweg;22;6490;0;Andermatt;2688224.054;1165503.803;de
230081;0;UR;1202;Andermatt;Sonnenweg;1;6490;0;Andermatt;2688305.198;1165560.734;de
230082;0;UR;1202;Andermatt;Sonnenweg;3;6490;0;Andermatt;2688289.324;1165545.866;de
230083;0;UR;1202;Andermatt;Sonnenweg;5;6490;0;Andermatt;2688273.543;1165530.993;de
230084;0;UR;1202;Andermatt;Sonnenweg;7;6490;0;Andermatt;2688258.075;1165514.08;de
230085;0;UR;1202;Andermatt;Sonnenweg;9;6490;0;Andermatt;2688243.602;1165498.885;de
230086;0;UR;1202;Andermatt;Bäzweg;20;6490;0;Andermatt;2688282.462;1165497.077;de
230087;0;UR;1202;Andermatt;Bäzweg;18;6490;0;Andermatt;2688266.801;1165486.515;de
230088;0;UR;1202;Andermatt;Bäzweg;16;6490;0;Andermatt;2688290.566;1165473.61;de
230089;0;UR;1202;Andermatt;Bäzweg;12;6490;0;Andermatt;2688310.337;1165460.272;de
230090;0;UR;1202;Andermatt;Bäzweg;14;6490;0;Andermatt;2688311.477;1165484.68;de
230091;0;UR;1202;Andermatt;Bäzweg;10;6490;0;Andermatt;2688330.989;1165455.9;de
230092;0;UR;1202;Andermatt;Bäzweg;8;6490;0;Andermatt;2688356.615;1165451.241;de
230093;0;UR;1202;Andermatt;Bäzweg;6;6490;0;Andermatt;2688356.791;1165433.869;de
230094;0;UR;1202;Andermatt;Bäzweg;4;6490;0;Andermatt;2688374.727;1165432.312;de
230095;0;UR;1202;Andermatt;Gotthardstrasse;99;6490;0;Andermatt;2688598.382;1165300.752;de
230096;0;UR;1202;Andermatt;Mariahilfgasse;2;6490;0;Andermatt;2688609.573;1165288.006;de
230097;0;UR;1202;Andermatt;Mariahilfgasse;6;6490;0;Andermatt;2688603.05;1165276.096;de
230098;0;UR;1202;Andermatt;Mariahilfgasse;8;6490;0;Andermatt;2688615.502;1165270.079;de
