EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
310003;0;ZG;1701;Baar;Marktgasse;12;6340;0;Baar;2682511.588;1227773.739;de
310004;0;ZG;1701;Baar;Marktgasse;14;6340;0;Baar;2682523.028;1227784.067;de
310005;0;ZG;1701;Baar;Marktgasse;16;6340;0;Baar;2682540.091;1227792.603;de
310006;0;ZG;1701;Baar;Marktgasse;18;6340;0;Baar;2682554.253;1227799.894;de
310007;0;ZG;1701;Baar;Rigistrasse;2;6340;0;Baar;2682578.674;1227789.851;de
310008;0;ZG;1701;Baar;Rigistrasse;4;6340;0;Baar;2682579.48;1227768.376;de
310009;0;ZG;1701;Baar;Rigistrasse;6;6340;0;Baar;2682582.709;1227751.281;de
310010;0;ZG;1701;Baar;Rigistrasse;6a;6340;0;Baar;2682576.98;1227752.048;de
310012;0;ZG;1701;Baar;Rigistrasse;10;6340;0;Baar;2682594.688;1227704.412;de
310013;0;ZG;1701;Baar;Rigistrasse;12;6340;0;Baar;2682599.23;1227697.005;de
310014;0;ZG;1701;Baar;Rigistrasse;14;6340;0;Baar;2682597.213;1227667.182;de
310015;0;ZG;1701;Baar;Rigistrasse;16;6340;0;Baar;2682608.789;1227654.317;de
310016;0;ZG;1701;Baar;Rigistrasse;18;6340;0;Baar;2682608.901;1227645.345;de
310017;0;ZG;1701;Baar;Leihgasse;15a;6340;0;Baar;2682601.728;1227638.141;de
310018;0;ZG;1701;Baar;Leihgasse;15;6340;0;Baar;2682595.812;1227622.933;de
310019;0;ZG;1701;Baar;Leihgasse;11;6340;0;Baar;2682559.824;1227624.17;de
310020;0;ZG;1701;Baar;Leihgasse;9;6340;0;Baar;2682538.473;1227622.602;de
310021;0;ZG;1701;Baar;Leihgasse;11b;6340;0;Baar;2682560.652;1227672.418;de
310022;0;ZG;1701;Baar;Leihgasse;11a;6340;0;Baar;2682565.919;1227689.431;de
310023;0;ZG;1701;Baar;Leihgasse;1;6340;0;Baar;2682445.35;1227614.141;de
310024;0;ZG;1701;Baar;Rathausstrasse;2;6340;0;Baar;2682437.323;1227647.356;de
310029;0;ZG;1701;Baar;Rathausstrasse;1;6340;0;Baar;2682408.746;1227656.928;de
310033;0;ZG;1701;Baar;Dorfstrasse;6;6340;0;Baar;2682373.716;1227628.853;de
310034;0;ZG;1701;Baar;Dorfstrasse;6a;6340;0;Baar;2682363.752;1227626.749;de
310035;0;ZG;1701;Baar;Dorfstrasse;6b;6340;0;Baar;2682359.938;1227620.644;de
310036;0;ZG;1701;Baar;Dorfstrasse;8;6340;0;Baar;2682345.597;1227615.405;de
310037;0;ZG;1701;Baar;Dorfstrasse;8a;6340;0;Baar;2682349.003;1227630.771;de
310038;0;ZG;1701;Baar;Dorfstrasse;10a;6340;0;Baar;2682327.585;1227633.625;de
310039;0;ZG;1701;Baar;Dorfstrasse;12;6340;0;Baar;2682331.001;1227601.465;de
310040;0;ZG;1701;Baar;Dorfstrasse;12a;6340;0;Baar;2682318.837;1227625.28;de
310053;0;ZG;1701;Baar;Bahnhofstrasse;18;6340;0;Baar;2682199.011;1227599.937;de
310054;0;ZG;1701;Baar;Bahnhofstrasse;20;6340;0;Baar;2682193.938;1227583.569;de
310055;0;ZG;1701;Baar;Bahnhofstrasse;22;6340;0;Baar;2682216.285;1227567.248;de
310056;0;ZG;1701;Baar;Dorfstrasse;34;6340;0;Baar;2682219.545;1227544.088;de
310057;0;ZG;1701;Baar;Dorfstrasse;38;6340;0;Baar;2682198.336;1227532.492;de
310058;0;ZG;1701;Baar;Dorfstrasse;40;6340;0;Baar;2682175.292;1227523.488;de
310059;0;ZG;1701;Baar;Dorfstrasse;42;6340;0;Baar;2682159.369;1227529.451;de
310060;0;ZG;1701;Baar;Kirchmattweg;6;6340;0;Baar;2682052.235;1227537.633;de
310061;0;ZG;1701;Baar;Asylstrasse;2;6340;0;Baar;2682117.732;1227541.434;de
310062;0;ZG;1701;Baar;Asylstrasse;1;6340;0;Baar;2682096.324;1227515.836;de
310064;0;ZG;1701;Baar;Asylstrasse;9;6340;0;Baar;2682047.24;1227573.971;de
310065;0;ZG;1701;Baar;Asylstrasse;10;6340;0;Baar;2682034.484;1227599.957;de
310066;0;ZG;1701;Baar;Kirchmattweg;10;6340;0;Baar;2682002.658;1227564.775;de
310067;0;ZG;1701;Baar;Kirchmattweg;8;6340;0;Baar;2682020.115;1227551.225;de
310068;0;ZG;1701;Baar;Kirchmattweg;5;6340;0;Baar;2682021.085;1227519.851;de
310071;0;ZG;1701;Baar;Kirchmattweg;13;6340;0;Baar;2681953.084;1227547.201;de
310072;0;ZG;1701;Baar;Asylstrasse;7;6340;0;Baar;2682065.291;1227567.831;de
310073;0;ZG;1701;Baar;Kirchgasse;15;6340;0;Baar;2682063.131;1227480.161;de
310074;0;ZG;1701;Baar;Kirchgasse;17;6340;0;Baar;2682055.512;1227478.985;de
310075;0;ZG;1701;Baar;Kirchgasse;19;6340;0;Baar;2682046.077;1227482.192;de
310076;0;ZG;1701;Baar;Kirchgasse;21;6340;0;Baar;2682027.651;1227482.653;de
310079;0;ZG;1701;Baar;Kirchmattweg;3;6340;0;Baar;2682067.197;1227518.935;de
310081;0;ZG;1701;Baar;Bahnhofstrasse;19;6340;0;Baar;2682217.96;1227617.518;de
310082;0;ZG;1701;Baar;Bahnhofstrasse;21;6340;0;Baar;2682227.405;1227592.096;de
310083;0;ZG;1701;Baar;Bahnhofstrasse;21a;6340;0;Baar;2682251.952;1227601.07;de
310084;0;ZG;1701;Baar;Dorfstrasse;22a;6340;0;Baar;2682266.901;1227588.847;de
310085;0;ZG;1701;Baar;Dorfstrasse;22;6340;0;Baar;2682281.451;1227574.906;de
310086;0;ZG;1701;Baar;Dorfstrasse;24;6340;0;Baar;2682252.605;1227563.156;de
310087;0;ZG;1701;Baar;Dorfstrasse;16;6340;0;Baar;2682303.785;1227603.245;de
310088;0;ZG;1701;Baar;Poststrasse;4;6340;0;Baar;2682279.073;1227643.386;de
310089;0;ZG;1701;Baar;Dorfstrasse;32;6340;0;Baar;2682240.397;1227555.224;de
310090;0;ZG;1701;Baar;Dorfstrasse;1;6340;0;Baar;2682418.109;1227610.465;de
310091;0;ZG;1701;Baar;Dorfstrasse;3;6340;0;Baar;2682412.586;1227611.211;de
310092;0;ZG;1701;Baar;Dorfstrasse;5;6340;0;Baar;2682395.281;1227608.275;de
310093;0;ZG;1701;Baar;Dorfstrasse;7;6340;0;Baar;2682377.127;1227605.429;de
310095;0;ZG;1701;Baar;Dorfstrasse;5a;6340;0;Baar;2682404.946;1227599.727;de
310096;0;ZG;1701;Baar;Inwilerstrasse;3;6340;0;Baar;2682479.358;1227551.349;de
310097;0;ZG;1701;Baar;Leihgasse;2;6340;0;Baar;2682452.408;1227592.039;de
310098;0;ZG;1701;Baar;Leihgasse;6;6340;0;Baar;2682501.892;1227592.756;de
310099;0;ZG;1701;Baar;Leihgasse;6a;6340;0;Baar;2682499.303;1227584.715;de
310105;0;ZG;1701;Baar;Leihgasse;14;6340;0;Baar;2682587.871;1227601.775;de
310106;0;ZG;1701;Baar;Leihgasse;16;6340;0;Baar;2682603.506;1227601.086;de
310107;0;ZG;1701;Baar;Leihgasse;16a;6340;0;Baar;2682603.74;1227593.906;de
310109;0;ZG;1701;Baar;Rigistrasse;22;6340;0;Baar;2682623.58;1227587.423;de
310110;0;ZG;1701;Baar;Leihgasse;20;6340;0;Baar;2682653.972;1227604.086;de
310111;0;ZG;1701;Baar;Leihgasse;22;6340;0;Baar;2682662.19;1227589.136;de
310112;0;ZG;1701;Baar;Leihgasse;24;6340;0;Baar;2682670.286;1227574.522;de
310113;0;ZG;1701;Baar;Gubelstrasse;2;6340;0;Baar;2682721.14;1227599.716;de
310114;0;ZG;1701;Baar;Sonnenweg;21;6340;0;Baar;2682673.994;1227541.475;de
310115;0;ZG;1701;Baar;Sonnenweg;23;6340;0;Baar;2682691.905;1227545.039;de
310116;0;ZG;1701;Baar;Sonnenweg;25;6340;0;Baar;2682710.019;1227548.756;de
310117;0;ZG;1701;Baar;Gubelstrasse;4;6340;0;Baar;2682725.924;1227582.319;de
310118;0;ZG;1701;Baar;Gubelstrasse;6;6340;0;Baar;2682730.945;1227564.917;de
310119;0;ZG;1701;Baar;Sonnenweg;18;6340;0;Baar;2682695.453;1227501.953;de
310120;0;ZG;1701;Baar;Sonnenweg;20;6340;0;Baar;2682701.224;1227488.434;de
310121;0;ZG;1701;Baar;Sonnenweg;22;6340;0;Baar;2682709.744;1227472.992;de
310122;0;ZG;1701;Baar;Sonnenweg;28;6340;0;Baar;2682715.804;1227518.934;de
310123;0;ZG;1701;Baar;Sonnenweg;30;6340;0;Baar;2682735.646;1227524.735;de
310124;0;ZG;1701;Baar;Sonnenweg;24;6340;0;Baar;2682731.137;1227476.986;de
310125;0;ZG;1701;Baar;Sonnenweg;26;6340;0;Baar;2682746.754;1227484.205;de
310126;0;ZG;1701;Baar;Sonnenweg;32;6340;0;Baar;2682774.215;1227510.194;de
310127;0;ZG;1701;Baar;Sonnenweg;36;6340;0;Baar;2682813.386;1227534.153;de
310128;0;ZG;1701;Baar;Sonnenweg;38;6340;0;Baar;2682819.811;1227519.716;de
310129;0;ZG;1701;Baar;Rigistrasse;37;6340;0;Baar;2682760.664;1227402.666;de
310130;0;ZG;1701;Baar;Rigistrasse;33;6340;0;Baar;2682799.722;1227412.083;de
310131;0;ZG;1701;Baar;Sonnenweg;35;6340;0;Baar;2682805;1227396;de
310132;0;ZG;1701;Baar;Sonnenweg;31;6340;0;Baar;2682820;1227454;de
310133;0;ZG;1701;Baar;Rigistrasse;29;6340;0;Baar;2682814.22;1227468.575;de
310135;0;ZG;1701;Baar;Grundhof;2;6340;0;Baar;2682643.956;1227490.784;de
310137;0;ZG;1701;Baar;Grundstrasse;7;6340;0;Baar;2682585.826;1227419.134;de
310139;0;ZG;1701;Baar;Grundstrasse;9;6340;0;Baar;2682561.701;1227414.4;de
310141;0;ZG;1701;Baar;Grundstrasse;11;6340;0;Baar;2682566.662;1227396.314;de
310142;0;ZG;1701;Baar;Grundstrasse;12;6340;0;Baar;2682540.674;1227393.522;de
310144;0;ZG;1701;Baar;Grundstrasse;14;6340;0;Baar;2682546.45;1227373.3;de
310145;0;ZG;1701;Baar;Grundstrasse;13;6340;0;Baar;2682570.249;1227374.947;de
310146;0;ZG;1701;Baar;Grundstrasse;15;6340;0;Baar;2682573.988;1227354.8;de
310147;0;ZG;1701;Baar;Sonnenweg;6;6340;0;Baar;2682530.479;1227465.363;de
310148;0;ZG;1701;Baar;Grundstrasse;16;6340;0;Baar;2682552.309;1227352.126;de
310149;0;ZG;1701;Baar;Grundstrasse;17;6340;0;Baar;2682582.536;1227335.035;de
310150;0;ZG;1701;Baar;Grundstrasse;19;6340;0;Baar;2682590.245;1227316.721;de
310151;0;ZG;1701;Baar;Grundstrasse;21;6340;0;Baar;2682594.214;1227302.299;de
310152;0;ZG;1701;Baar;Grundstrasse;23;6340;0;Baar;2682593.158;1227289.461;de
310153;0;ZG;1701;Baar;Rigistrasse;24;6340;0;Baar;2682609.065;1227567.275;de
310155;0;ZG;1701;Baar;Rigistrasse;28;6340;0;Baar;2682635.765;1227530.372;de
310156;0;ZG;1701;Baar;Rigistrasse;40;6340;0;Baar;2682702.116;1227386.431;de
310157;0;ZG;1701;Baar;Grundmatt;1;6340;0;Baar;2682719.488;1227352.569;de
310158;0;ZG;1701;Baar;Sonnenweg;12;6340;0;Baar;2682620.099;1227500.101;de
310159;0;ZG;1701;Baar;Sonnenweg;10;6340;0;Baar;2682590.691;1227487.68;de
310161;0;ZG;1701;Baar;Sonnenweg;4;6340;0;Baar;2682514.719;1227458.462;de
310162;0;ZG;1701;Baar;Sonnenweg;2;6340;0;Baar;2682489.579;1227448.692;de
310163;0;ZG;1701;Baar;Inwilerstrasse;5;6340;0;Baar;2682475.721;1227522.198;de
310164;0;ZG;1701;Baar;Inwilerstrasse;7;6340;0;Baar;2682490.449;1227484.987;de
310166;0;ZG;1701;Baar;Inwilerstrasse;15;6340;0;Baar;2682498.51;1227354.336;de
310167;0;ZG;1701;Baar;Inwilerstrasse;17;6340;0;Baar;2682506.871;1227335.991;de
310168;0;ZG;1701;Baar;Inwilerstrasse;45;6340;0;Baar;2682662.432;1227085.012;de
310169;0;ZG;1701;Baar;Inwilerstrasse;43;6340;0;Baar;2682653.598;1227100.111;de
310170;0;ZG;1701;Baar;Inwilerstrasse;41;6340;0;Baar;2682642.342;1227120.445;de
310172;0;ZG;1701;Baar;Inwilerstrasse;37;6340;0;Baar;2682614.663;1227154.346;de
310174;0;ZG;1701;Baar;Inwilerstrasse;33;6340;0;Baar;2682590.917;1227184.291;de
310175;0;ZG;1701;Baar;Inwilerstrasse;31;6340;0;Baar;2682577.441;1227206.16;de
310176;0;ZG;1701;Baar;Inwilerstrasse;29;6340;0;Baar;2682563.234;1227222.186;de
310177;0;ZG;1701;Baar;Grundstrasse;20;6340;0;Baar;2682565.817;1227311.758;de
310179;0;ZG;1701;Baar;Grundstrasse;24;6340;0;Baar;2682576.888;1227274.749;de
310180;0;ZG;1701;Baar;Grundstrasse;26;6340;0;Baar;2682582.003;1227250.331;de
310181;0;ZG;1701;Baar;Grundstrasse;25;6340;0;Baar;2682612.761;1227254.224;de
310182;0;ZG;1701;Baar;Grundstrasse;27;6340;0;Baar;2682618.407;1227233.621;de
310183;0;ZG;1701;Baar;Grundstrasse;28;6340;0;Baar;2682599.479;1227223.164;de
310184;0;ZG;1701;Baar;Grundstrasse;29;6340;0;Baar;2682650.156;1227205.768;de
310185;0;ZG;1701;Baar;Grundstrasse;31;6340;0;Baar;2682629.472;1227186.001;de
310186;0;ZG;1701;Baar;Inwilerstrasse;19;6340;0;Baar;2682521.764;1227313.806;de
310188;0;ZG;1701;Baar;Inwilerstrasse;25;6340;0;Baar;2682536.662;1227262.425;de
310189;0;ZG;1701;Baar;Inwilerstrasse;23;6340;0;Baar;2682534.838;1227279.978;de
310190;0;ZG;1701;Baar;Inwilerstrasse;21;6340;0;Baar;2682530.236;1227294.611;de
310191;0;ZG;1701;Baar;Grundstrasse;18;6340;0;Baar;2682560.168;1227325.951;de
310193;0;ZG;1701;Baar;Inwilerstrasse;6;6340;0;Baar;2682420.216;1227520.295;de
310195;0;ZG;1701;Baar;Inwilerstrasse;10a;6340;0;Baar;2682395.917;1227433.889;de
310196;0;ZG;1701;Baar;Inwilerstrasse;10b;6340;0;Baar;2682399.942;1227402.137;de
310197;0;ZG;1701;Baar;Inwilerstrasse;12;6340;0;Baar;2682448.102;1227432.211;de
310198;0;ZG;1701;Baar;Inwilerstrasse;14;6340;0;Baar;2682429.448;1227397.42;de
310199;0;ZG;1701;Baar;Inwilerstrasse;16;6340;0;Baar;2682447.457;1227388.323;de
310200;0;ZG;1701;Baar;Inwilerstrasse;18;6340;0;Baar;2682452.65;1227363.848;de
310201;0;ZG;1701;Baar;Mattweg;1;6340;0;Baar;2682441.225;1227357.29;de
